_id,pkg_name,sha256,sha1,md5,dex_date,apk_size,vercode,vt_detection,vt_scan_date,dex_size,markets, 
62e8558018a3dddc6b4e39f5,ru.rosfines.android,7CC5E278EFD7079B1445896C3C328D8C54239C7EE77A83B20E90DE5F69AE1E62,59E7D4A85FFF8B90F546101244634A80C2C994F2,BF67A478374C15F9E74B074A376E611E,Mon Aug 01 2016 20:21:46 GMT+0200 (Central European Summer Time),25193521,8,0,2016-08-30 13:20:30,8246544,play.google.com,
62e8571f18a3dddc6b99d40e,com.autowini.buyer,BC2A6119C7C2FE73DBF6B3BAAFAA30187F12E11052FB2BF0226283FDD84BCDEA,663795DCCB1B04CA41C8999A9C867B9E3AD130D4,2B1D1C5DF500A880E57423FD62D49033,Thu Jan 01 1981 01:01:02 GMT+0100 (Central European Standard Time),28234129,99,undefined,undefined,10388048,play.google.com,
62e8583818a3dddc6bd3d18b,com.multas.app,ECD04B7679D2A73D0F121A6F7857C3836BD90F3997EF946E895C37B12CA60A08,92173A6E227A35CE8CA937AF2499A9F36307F1EB,EBDDC431C675D69BCE21AA0AF509CCC0,Tue Jan 01 1980 00:00:00 GMT+0100 (Central European Standard Time),5191214,99,0,2019-02-22 01:15:35,7170200,play.google.com,
62e8554018a3dddc6b416695,com.girnarsoft.cardekho,720F6C39060195D51C3110099691AC25E4A83DCA7A7CCAE5EAA33C6F2FF4699B,662719350494CD51B5AA931E5CCB1D80B2032068,C2D29804FE586146CE5638D56C56C2F1,Tue Jan 01 1980 00:00:00 GMT+0100 (Central European Standard Time),8748959,95,0,2017-04-15 09:10:01,9019452,play.google.com,
62e8554118a3dddc6b41975e,br.com.gringo,72384AD94F771FAA827D10D569B7C73FFF6C8A4B16621FCC40D8FED1BDC9ED4D,6A1F8CC604DFD1B28117F31E264449E3C27750CF,5FC1F3EABD8306FE4DF72E1A9EF86EC4,Thu Jan 01 1981 01:01:02 GMT+0100 (Central European Standard Time),12570234,98,0,2021-12-31 11:18:31,8879424,play.google.com,
62e8554f18a3dddc6b446675,com.infostud.android.pa,749161660854545BAC642AD302B39A0A9920C6D80269E4A9A8D5C7E4E464D1A1,C19D68BF15CB42A670BF0ED5EAD74B7A778226E0,77BE7106FA1F784B80E9A8BE0CE179EB,Tue Jan 01 1980 00:00:00 GMT+0100 (Central European Standard Time),12773072,97,0,2019-03-04 10:33:19,8603256,play.google.com,
62e852e218a3dddc6bca2853,com.girnarsoft.bikedekho,0E47791E55D677BEAFEC342923BB3452FBA6A35B505A4B696C54E89AC29C3C33,8DDF78904EAC25B94141EB80CA162B2F624C47B4,0D616934D9F6022DF6C7B23569D64E51,Tue Jan 01 1980 00:00:00 GMT+0100 (Central European Standard Time),21434307,65,0,2022-07-18 18:18:28,7301904,play.google.com,
62e856e118a3dddc6b8e08c2,ru.autodoc.autodocapp,B246603A0CFE710F372626CA4B1B008EDE14BFCB99C2FF75E3E9A383C003C394,05A0E6942DD661CD38CE869FF254731BB72FADD8,D2509ED95DDFFCB9CDE820FA190521DC,Mon Oct 27 2014 12:20:26 GMT+0100 (Central European Standard Time),4963164,80,0,2015-10-25 11:33:21,3452048,PlayDrone|play.google.com,
62e8551718a3dddc6b394719,com.hatla2ee.hatla2ee_egypt,6B417E9CD188752ADABEFFF5D79012360D3238CCDA5E607FD3F0345136A63C92,9F4D8A43D27212914B8BAEEC00F123613BA27B69,98CCA91869170EFED62FF23A309247A6,Thu Jan 01 1981 01:01:02 GMT+0100 (Central European Standard Time),9697631,60060,undefined,undefined,7650732,play.google.com,
62e853d018a3dddc6bf897ec,com.ebay.motorsapp,351A405131ABF6BAA4D146091BBF9D213DF83BDE86945817D5AB56711306887D,BBCFC3D8D37678E34BE16EFA6DA345AA646D3EF0,50F8C314194C197174A3DE351016AB87,Tue Jan 01 1980 00:00:00 GMT+0100 (Central European Standard Time),43410398,9318,0,2020-01-30 09:12:34,7162936,play.google.com,
