_id,pkg_name,sha256,sha1,md5,dex_date,apk_size,vercode,vt_detection,vt_scan_date,dex_size,markets, 
62e8530118a3dddc6bcfe82b,jp.co.istyle.atcosme,1315CAB92A9666E29679D25BA94D8850B317E29DB0172780174FB1DEA7ADECB3,8034E341C6D5938407F6AF245BC888868EEEE597,DA1AE6D2E7B1AA7FCAD1C397ECEF3090,Thu Jan 01 1981 01:01:02 GMT+0100 (Central European Standard Time),12249846,8000309,undefined,undefined,7924648,play.google.com,
62e8535d18a3dddc6be0df84,com.scentbird,214ABB48365A440B807D596098F1160071540C38103E46E48903F910D86FC665,7F47ABB927BDDD79C1461CC2B02300071DFFF711,E00E2CCAAE1B3168987A8B0BCC3352BC,Thu Jan 01 1981 01:01:02 GMT+0100 (Central European Standard Time),26164670,66,undefined,undefined,9286744,play.google.com,
62e855a618a3dddc6b55b5dc,com.sephora,830B124E9248E786F293B658929A3395F0FA968DDA58CA79BAD45A625D7F7E16,617E02DD7956C955453FC90C770CD2AA384B59F2,DCC0BE80C55546E4ED36FB42DCD39526,Mon Oct 27 2014 10:19:50 GMT+0100 (Central European Standard Time),1422632,7,0,2015-04-09 23:52:20,3457556,play.google.com,
62e8559418a3dddc6b522d57,com.lipscosme.lips,8017ED22F98A8367BA3CF937EA4EABD37BDEB0429ECE3EF8422D4C247039E8D0,301F4A78293D179C62E7FE427DB1E9F0A7B6316F,105E7D4829084E4C1FB5FE523DAB1E9C,Thu Jan 01 1981 01:01:02 GMT+0100 (Central European Standard Time),31072518,9957,undefined,undefined,10582740,play.google.com,
62e8554318a3dddc6b422405,com.styleseat.promobile,72AE971D4BFCD41C80E76728C21E355D76C24B4361DE8C9DB01F7F009E8863E1,8F2403822EA58BAAE19D3B6684A2F4CD77C593B0,5FBAA0B6C539ACD42B8B5D44DB8697A2,Fri Mar 17 2017 16:30:38 GMT+0100 (Central European Standard Time),41333259,988,0,2021-12-02 19:29:08,4487416,play.google.com,
62e8536018a3dddc6be17fb2,br.com.espacolaser.Agendamento,21D0746F52490F442FEE0D2D552F32FCF4B7C89D8C51D59FE6717D1A887030C2,D14235B29BC4F890901F0FC58814B385A6289D0A,F4904D2037E5FB1F21825935C8297DF2,Tue Jan 01 1980 00:00:00 GMT+0100 (Central European Standard Time),34402529,50127,0,2021-10-26 03:05:14,9299788,play.google.com,
62e854d618a3dddc6b2c9196,com.yuapp.beautycamera.selfie.makeup,609C45D5A0C6E9CD2BB531CB5BA0ED24D43FAF758008C01AA3BAB8028C0BE8E3,3AD5497B90E5C7B8E9C297905AEE38F4A1786670,C4E5D3D72D355C4F97FB8785FFE2D099,Thu Jan 01 1981 01:01:02 GMT+0100 (Central European Standard Time),59958610,3032,0,2022-07-16 11:02:48,8549436,play.google.com,
62e8540a18a3dddc6b03c33b,com.eidmehndi.design.bridalmehndi.mehndidesign,3E75A64B89604F4CF6C0DBC955EA65EFDB950AC247C2FB32C5F65771C7581876,63B811CF798AC8D9635B622770031788F79C2D27,62D6BCADB581178EC0C84E4E92AD6B64,Tue Jan 01 1980 00:00:00 GMT+0100 (Central European Standard Time),22984928,9,0,2019-07-23 01:51:18,8719108,play.google.com,
62e857bc18a3dddc6bba0164,mmapps.mirror.free,D7210B21C97E49C38EDDF2E4753F37D45939582E0A6E91CB9D525F4EED9D63AF,a48e13d623a085b9dd83f24eb266ade6c5b7522a,a37cbe2aee998f28ca3fc8245c8f8d08,Sun Sep 23 2012 19:58:04 GMT+0200 (Central European Summer Time),198171,7,0,2013-10-05 14:01:38,273592,anzhi,
62e8573818a3dddc6b9eeb1b,kr.co.company.hwahae,C0719480BBDF1BA05272FA58653BC579D92B02CDFA2CB9CE5893B7E2C813B395,65A6FE02542E105731FD42310F6AC00DCFF6AF85,61E24DBB7F4F46FF15D4E00446ED9C96,Tue Jan 01 1980 00:00:00 GMT+0100 (Central European Standard Time),16502758,92,0,2017-09-20 14:20:42,6901800,play.google.com,
