_id,pkg_name,sha256,sha1,md5,dex_date,apk_size,vercode,vt_detection,vt_scan_date,dex_size,markets, 
62e856a518a3dddc6b821648,com.cookpad.android.activities,A83E49CFC409DF561FF51542499D08C6C391AA27C0D843D680B9AF54E46FEF70,800EE0DDD9447B41EC47227710F5248E18D05C44,C4C3B2A723DB21C31058813B43F74D9F,Fri Jan 31 2014 09:39:34 GMT+0100 (Central European Standard Time),728246,70,0,2015-12-17 08:56:55,411872,play.google.com,
62e857c118a3dddc6bbb1fee,com.deliveryclub,D81201B2D740F5483FADE4916C2D40AAA7D16594CD3F01AC6676C71EF7597A41,4713D1445BCA1A6A8555F2A24DB73D60C7395834,9ED7992EAC9BB040821870C3E21DDAD4,Thu Jan 01 1981 01:01:02 GMT+0100 (Central European Standard Time),27644200,499000,0,2022-07-30 22:36:24,8172468,play.google.com,
62e854a618a3dddc6b22e335,com.olo.applebees,58825A7EDF7BE23BE50D8443918C9640E4B90FFB84B93FD5F70DB9866329A401,F0EAECD0A3FD4655E8BEC5706339FB09A3EE4D43,7B9E5B88D695A2FC2D912DE1D6B6E110,Thu Jan 01 1981 01:01:02 GMT+0100 (Central European Standard Time),20826907,1290,undefined,undefined,8943616,play.google.com,
62e853b418a3dddc6bf2d630,com.wishop.dev.jow,304BF8A92F8B55D2F94145BD5BE237B8FCA7CD9F5DBF94242217786FB22BC8C9,FB9E6CE2E69472778D986BE23AFECCA7E94F817D,0425BA25AE3FA2595F294A0FA1560E70,Thu Jan 01 1981 01:01:02 GMT+0100 (Central European Standard Time),40576278,8405121,undefined,undefined,7989408,play.google.com,
62e8584518a3dddc6bd68e4c,app.quiktrip.com.quiktrip,EF1B5C84BCC89DC8339D3F896934CD58566BC33A41C9B27C4C47021DA430B837,A6A4A120D6947ED4EF7088E0423A94E248502AC7,67AD544235BA0407239D11E608A31EEE,Tue Feb 16 2016 09:51:48 GMT+0100 (Central European Standard Time),9200266,587,0,2016-03-29 09:29:16,5159544,play.google.com,
62e855dc18a3dddc6b5fe494,com.venturegeeks.efood,8B928F13749BD109A2044FF824B4448A1217340E66222EBCA7EE349F071EC3FE,CF4D35C702DEFAF6D2D721F93C0BB6EC4FEB7896,00428A99944B628895DE44CC797635F1,Tue Jan 01 1980 00:00:00 GMT+0100 (Central European Standard Time),13166277,992,0,2021-06-23 08:38:33,8607584,play.google.com,
62e852cb18a3dddc6bc6588b,com.yelp.android,0B19C841C034B0564D9A12A918DD137489D2DD9D52C5849C7A15A2E1DF83D286,dfffee923f5b1d532d22b221c9181bd89f3d9b81,4adc6b9444d735c3cf647cf216cd3506,Fri Sep 06 2013 13:54:00 GMT+0200 (Central European Summer Time),9898682,809403,0,2013-09-15 13:35:43,5109616,appchina|play.google.com|1mobile,
62e8566318a3dddc6b77e5d3,co.ritual.app,9FB18E7259B10A7570A45F4F18223FA675BE7506B6CAF57088F0E13C42991AF8,2A6A07A3D08475F428C5211D7D8962D30CBD835B,BF3EFD9B0CF7AFB42CEDC92E818B91D2,Thu Jan 01 1981 01:01:02 GMT+0100 (Central European Standard Time),21268849,240668,undefined,undefined,8291868,play.google.com,
62e8534018a3dddc6bdaa9c3,ru.foodfox.client,1C150FCB13F50A8FD8D9D4CD6245D1331DF1DCA38596A97DF58F70FFD3423C43,285BD8EFC2492156E9A907C71F2A38D8CE29472A,FA4BCF2245681C7D69230111D1114595,Thu Jan 01 1981 01:01:02 GMT+0100 (Central European Standard Time),32890589,92469,undefined,undefined,7222776,play.google.com,
62e8571618a3dddc6b97fd3c,com.wabi.customer,BA9E05DFD0CA3119B8AEB136CDD39D019AF0D3228BA74C2DFB8B069D7EA081C7,E4D85FDE04CB40D55F581ABB1DC24FA6775A281E,289B320E3FE1655E8C55AFEA79C26CC7,Thu Jan 01 1981 01:01:02 GMT+0100 (Central European Standard Time),7745005,3912,0,2022-07-26 05:20:03,9572368,play.google.com,
62e854c818a3dddc6b29a3a3,br.com.livup.ecommerce,5E299864195F92AFE11E801DA352A4C938131B192A0376E88EDBDC6D105957A7,33B74A81C510C7C85B8AB3950EE048BBEB4D3BB6,B7E01213DC3EB7B826EBAAEDDF2677B7,Thu Jan 01 1981 01:01:02 GMT+0100 (Central European Standard Time),18057204,5248663,0,2022-07-25 12:34:46,7446672,play.google.com,
62e8542518a3dddc6b08c04f,com.eatigo,42A23EF89F7AE255C1E99AA282F74F77D91F14AEFB66C9F199600F77A58F5526,E313F819A3780B5C015CCC8D58E9FB5ED14A0701,CFF22982163AFEF98F49484FFE2F51AD,Tue Jan 01 1980 00:00:00 GMT+0100 (Central European Standard Time),13411699,977,0,2019-08-22 05:05:57,7890364,play.google.com,
62e855e118a3dddc6b60a630,vivino.web.app,8C355A3143382D1B83099E6D09B5859806A63C55AE1D83B40ED2FD53BAE51284,4DD4078C64D939B75364BA30BF1C24F7E8E99190,081CBDE1E66121F5F672C92E03623D9F,Fri Oct 31 2014 11:36:14 GMT+0100 (Central European Standard Time),25874727,89,0,2017-03-15 04:03:07,6352880,PlayDrone,
62e853f318a3dddc6bff9136,gr.cosmote.box,3AF297352277C10176F3B8AE626CCAD746FA3E1942CEB7CB680A7100E88EF7A7,C0B5E224A30E56CFD1A9FC9D71287782DC32668C,E98E0ADE10D620AFE98B24B2D9C426D1,Thu Jan 01 1981 01:01:02 GMT+0100 (Central European Standard Time),12474983,2206240,undefined,undefined,9220900,play.google.com,
62e8584d18a3dddc6bd837c9,com.cardfree.android.redlobster,F0801065D19EF6437B0C4E836C1C6C5BABAFBBA84A00A91D3AE43965ED070D6F,268E3E0D9786D757082E5B29CCD0AB7C9DCEC51F,C9ACD91BE1E64CBB2E03340815E1A0E2,Thu Jan 01 1981 01:01:02 GMT+0100 (Central European Standard Time),14278394,1655428885,0,2022-07-19 15:49:24,7927820,play.google.com,
62e8538018a3dddc6be8013f,com.ru.verniy,273D4E7FCDFBB178DF3FC04F44E81D74DD047CFD95EB34C4C792B56637E2DEF5,D13EDE953209FF64DBAFA88BE0DACEBB99DD5C72,70A8976909C523E8DDFD82761059B6FF,Thu Jan 01 1981 01:01:02 GMT+0100 (Central European Standard Time),10704956,800,0,2022-07-18 15:47:54,8978440,play.google.com,
62e8547518a3dddc6b18edc5,com.polydice.icook,502A193E00265A272138390ECB715A2FFA25966E57041922F6D29EF736B38832,2F23141E15B50865B1DE5B3AE85C1EB4B8AC45A9,DDBEA55FD4C6F63E6B0CC1D3B46D143A,Thu Jan 01 1981 01:01:02 GMT+0100 (Central European Standard Time),21478328,95710,undefined,undefined,9257472,play.google.com,
62e8573d18a3dddc6b9fec68,com.minor.pizzacompany,C1471AFA2B7176B6143CD0EF6EA702F72BC8B128EF7B1B85531E991F276F1C66,E7CDFA9F04D09D64FCFEEC6F7A01D1E71787FD4A,B18CE45A922ADC516686C52724CD00F1,Sun May 01 2016 16:33:38 GMT+0200 (Central European Summer Time),16801534,94,0,2016-05-02 14:07:13,9317836,play.google.com,
62e8546a18a3dddc6b169ca6,com.panera.bread,4E3ADECFFA0885217FE7A9E0F7937DAFD4F559DDC4ADD2E5E2026F16982DA68A,D9B7E8342A8D07C55AC88AF872A6BAC4EEE05B43,446E08FC8B44503686B8E794404AC3FA,Thu Jan 01 1981 01:01:02 GMT+0100 (Central European Standard Time),39477585,35903017,undefined,undefined,9781592,play.google.com,
62e856f418a3dddc6b9137ac,com.instacart.client.publix,B4EF34C867C4B068473FBF34A97CD0D9620A49FE77E1331E88CB0BE5698E5C08,CB3C6017D50E6103D5D12D002B0001FD3CD62303,DBE945CBCC19A94770B9D9B6920CDAD0,Thu Jan 01 1981 01:01:02 GMT+0100 (Central European Standard Time),36098670,71501000,undefined,undefined,11896508,play.google.com,
62e8580c18a3dddc6bca7ff2,com.hw.blaze,E500A1C842557D2FA2E9D3970EADAD5758B22AC3AFDA8C7B5D8EE41ED58F376A,E14FC92122A557AA6A3A6B8DE6F353C2CE4F49A3,32494CA585D4900412CA08547B981C91,Wed Sep 20 2017 18:27:40 GMT+0200 (Central European Summer Time),9384785,9,0,2017-11-08 09:53:42,5286224,play.google.com,
62e8539718a3dddc6becfcc3,com.slicelife.storefront,2B68C7B99B66FF322F3804C8AE20B04E55E57ABED6B3DACD33AE53F6B25DA285,7C1EC3614135C9EEEBC1D7EB5BD871E18CA33331,39D86E42B1713D80BC50BA79FDC098B3,Thu Jan 01 1981 01:01:02 GMT+0100 (Central European Standard Time),53064382,99927925,0,2022-04-08 11:33:43,9281532,play.google.com,
62e8540f18a3dddc6b049a52,com.olo.ihop,3F29910E28966EE38DD5119D676D6748E247D7559AA91640BE2B24DD494AADB8,6AD41021A72A8CF39EE11AFA8701191651736AE2,F353FC11071A6C59EB46CC6DE2D13B52,Thu Jan 01 1981 01:01:02 GMT+0100 (Central European Standard Time),53677247,2111,undefined,undefined,8622384,play.google.com,
62e855ba18a3dddc6b59867b,com.starbucks.mobilecard,863DC18F2D770F8125629B59005511BF244E47849144AECC40436536A6BD0707,31E2C0B47B252342C7A46C0843EB2AE2E279726E,1E98E8811E1245F30A59BC332D87312F,Mon Aug 01 2016 15:17:54 GMT+0200 (Central European Summer Time),44481226,9459,0,2016-12-25 01:00:24,8550968,play.google.com,
62e8562718a3dddc6b6d0076,com.pedidosya,968F20796040DB57959AD9F7036F28C5559562D11DB96F33F18D31B7CCD766BE,6FC635801C9C7283269AE79565B5B5A6122A91C3,FDB55C98D83A53E60AE09B8B23482D3D,Thu Jan 01 1981 01:01:02 GMT+0100 (Central European Standard Time),34455035,994,0,2021-10-01 19:47:53,9360604,play.google.com,
62e856ca18a3dddc6b895ec7,it.banzai.media.gzricette,AE5A54C04879ADE99912280ECCB4DC710BF8B49DD34C08BFF8F8B1669CBEF71F,2F033AC804AD2498052647FF9E6FF2B23F10C16A,A6FE2808EE07B5804C7A8AFF12C0624F,Thu Jan 01 1981 01:01:02 GMT+0100 (Central European Standard Time),15579131,98,0,2022-07-07 16:00:35,8856644,play.google.com,
62e8543018a3dddc6b0b0a6d,kz.chocofood.chocofoodapp,448BCA2E108EC911DFBBF6AC1E27AD2F580CAF70F4B8374267CB13D574B441C1,980AC8A058DB37CE0E213CF3A14CA7462C708219,677389B43F511EC93966ABEAE0995F37,Tue Jan 01 1980 00:00:00 GMT+0100 (Central European Standard Time),10338068,99,0,2021-01-10 10:16:48,8698096,play.google.com,
