_id,pkg_name,sha256,sha1,md5,dex_date,apk_size,vercode,vt_detection,vt_scan_date,dex_size,markets, 
62e8565d18a3dddc6b76b6e5,com.att.mobilesecurity,9EB387A6FE38D5F3F93FBC6103DFBDBED0E72FA76AE05C571FC7AD07331A342F,1809FD1AA505CB235902635CDEA26F0B47374A15,30FB42407DFA12782DCC76FA2791A308,Fri Jun 24 2022 01:40:14 GMT+0200 (Central European Summer Time),21737426,6010009,undefined,undefined,10489556,play.google.com,
62e852ca18a3dddc6bc64023,com.sharekaro.shareit,0B05BB97C3B2521212A9992800A7A8A97F4D56914F2F0C55834051A5A710139B,80379005B389D4FBEEC732088D10012CD66BF606,A3B3E094B813C40731A9F00DD4BCEC42,Thu Jan 01 1981 01:01:02 GMT+0100 (Central European Standard Time),24028268,95,0,2021-07-15 07:42:57,10388360,play.google.com,
62e8581918a3dddc6bcd5057,com.avast.android.mobilesecurity,E75CB33C423BBA5C82228D333ED325FDE86B24283BBDEA6EECA3E4089C36C5BB,B0DA0DB444A910ADA7913DC3F85A867153D6D818,1E487B2D2C2184E2537E4B0CE8D975B0,Thu Apr 28 2016 08:42:42 GMT+0200 (Central European Summer Time),12173916,9813,0,2016-07-22 03:21:03,7991544,play.google.com,
62e856b218a3dddc6b84a476,com.naing.mp3converter,AA62CA50DE5662212A1534BCF25DF80EFFFE8B88BD54EB093433633C9A78D002,BDA90A000F5DE6CC8F2B90B0255D911462462E7B,BD788BFE539198EDB82678B0710A21E7,Thu Jan 01 1981 01:01:02 GMT+0100 (Central European Standard Time),4092406,9000037,undefined,undefined,6785804,play.google.com,
62e8573a18a3dddc6b9f438f,mobi.omegacentauri.SpeakerBoost,C0BBF0F2BA423F73CC1033FF27FB814AFC4A3DCE0A1E0887583987799281CC44,E79A9555A0FA012B3ACD0530E45845BCBA30A0C9,56AEF52B92AC69F76AA3CA7D54498DC1,Tue Jan 01 1980 00:00:00 GMT+0100 (Central European Standard Time),14286067,96,0,2021-04-18 09:32:13,7600776,play.google.com,
62e857ee18a3dddc6bc440eb,com.vpnmasterx.free,DFBB7A4A1D15AB21161FFB8931072D70DA5353AF2BDEC38679A7111628B7B7B2,70E9B16287E02B8C1E5CA8767D04210B849A6686,73C37133A235340F0F3BA42BB56D219B,Thu Jan 01 1981 01:01:02 GMT+0100 (Central European Standard Time),7593624,22052701,0,2022-05-27 12:32:18,8424044,play.google.com,
62e8564e18a3dddc6b73e903,com.mi.android.globalminusscreen,9C595EB4CA2E180C608F0EE86915B777BCE69336E7B9198B1EB1E2D517568808,64A85C1AA1BF41B7216B887AE54FE58D31AD517D,35EBCA0F09EDB5FBFA6F640D8D40C469,Tue Jan 01 1980 00:00:00 GMT+0100 (Central European Standard Time),19904301,20220707,undefined,undefined,10022136,play.google.com,
62e8560818a3dddc6b679696,com.cloudflare.onedotonedotonedotone,920563837E404D37FA3589E18DBBA711AFA0B31A889FAEA6BD7F686094B1ABDD,F955456ACC9D3A5098B9D197CA73B77784993A76,97D97E695572AD0AE99142D073489790,Tue Jan 01 1980 00:00:00 GMT+0100 (Central European Standard Time),6262177,977,0,2020-05-24 22:33:05,6559592,play.google.com,
62e8572f18a3dddc6b9ce980,org.zwanoo.android.speedtest,BEC290ADAD8750860D2D4DE9BABB16690CFBC86DECB92BD753047A5F8D8D2D17,6BDF6442F337638E1F9DD32E84B8AB5C5905B0A8,2B416F3D07D40E1BFA93649A7BF6EAA1,Tue Jan 01 1980 00:00:00 GMT+0100 (Central European Standard Time),25756932,99498,1,2020-07-17 10:44:38,7991564,play.google.com,
62e8542818a3dddc6b096bb6,com.vsray.remote.control,4331AC671DA804188DE169A4209ACC710951FBFD4EBD3BAC2089D82535F6FDB5,747C5B135FC6CB7B5F292ED692329AC00AE75D1B,131A0F5649E31823A923DAB4725DAC7C,Tue Jan 01 1980 00:00:00 GMT+0100 (Central European Standard Time),5535754,9,0,2019-05-09 03:19:48,4816960,play.google.com,
