pkg_name,category
ru.rutaxi.vezet,Auto & Vehicles,
br.com.mobills.consultaplaca,Auto & Vehicles,
com.google.android.projection.gearhead.phonescreen,Auto & Vehicles,
com.delusional.vehicleinfo,Auto & Vehicles,
coches.net,Auto & Vehicles,
com.its.taxi,Auto & Vehicles,
com.dsdevelop.infocar,Auto & Vehicles,
com.dki.gov.kominfo.cekranmordki,Auto & Vehicles,
com.kia.red,Auto & Vehicles,
com.ex.plus_hipasscard,Auto & Vehicles,
com.hyundai.myhyundai,Auto & Vehicles,
no.vegvesen.forerkort,Auto & Vehicles,
br.com.sulamerica.auto,Auto & Vehicles,
lime.taxi.red,Auto & Vehicles,
motos.net,Auto & Vehicles,
sh.eagletech.pakvehicleregistration,Auto & Vehicles,
br.com.veloe.mobile,Auto & Vehicles,
com.didiglobal.fleet,Auto & Vehicles,
lime.taxi.saturn,Auto & Vehicles,
com.sera.ibid,Auto & Vehicles,
com.amorepacific.handset,Beauty,
jp.mixi.minimo,Beauty,
br.art.code.mcclegacy,Beauty,
com.rasysa.hairstyledesigner,Beauty,
press.laurier.app,Beauty,
arine.jp.arine,Beauty,
com.srin.garut,Books & Reference,
com.htc.guide,Books & Reference,
mobi.mangatoon.novel,Books & Reference,
th.go.doae.farmbookapp,Books & Reference,
com.bhoomiapps.shayariinhindinew,Books & Reference,
com.samsung.knox.securefolder,Business,
com.att.csoiam.mobilekey,Business,
in.dishtv.subscriber,Business,
in.droom.online_obv_app,Business,
com.lge.supportlg,Business,
com.gojek.resto,Business,
com.meesho.id,Business,
ru.zarplata,Business,
com.fastjobs.asia,Business,
jp.co.yahoo.android.ymshortcutman,Business,
in.swiggy.partnerapp,Business,
jp.co.yahoo.android.ymobilemenuapp,Business,
ru.sberbank.sberkids,Business,
com.enerjisa.perakende.mobilislem,Business,
com.datamartwebapp,Business,
mobi.mangatoon.comics.aphone.portuguese,Comics,
jp.co.shueisha.mangamee,Comics,
com.zebrack,Comics,
jp.co.shueisha.youngjump.android,Comics,
com.whisperarts.disney.princess,Comics,
mobi.mangatoon.comics.aphone.lite,Comics,
com.whisperarts.disney.planes,Comics,
com.kt.ollehcontentsbox,Comics,
com.google.android.gm.lite,Communication,
com.motorola.slpc,Communication,
com.michatapp.im,Communication,
com.quicinc.voice.activation,Communication,
com.vzw.ecid,Communication,
com.htc.sense.mms,Communication,
com.oneplus.mms,Communication,
com.att.mobile.android.vvm,Communication,
jp.co.yahoo.android.ybrowser,Communication,
com.kddi.android.cmail,Communication,
com.htc.vte,Communication,
com.google.android.apps.wearable.phone,Communication,
com.vewd.core.integration.dia,Communication,
com.motorola.ptt.prip.br,Communication,
com.cloudmosa.puffinTV,Communication,
com.orange.phone.mea,Communication,
de.telekom.mail,Communication,
com.uscc.ecid,Communication,
com.matchlatam.ourtimeapp,Dating,
jp.co.yahoo.android.partnerofficial,Dating,
com.match.android.matchmobile.asiapac,Dating,
com.frenclub.borak,Dating,
com.sisomobile.android.blinddate,Dating,
com.samsung.sree,Education,
tv.ip.edusp,Education,
com.topscorerstudent.app,Education,
com.telcel.contenedor,Entertainment,
tv.accedo.airtel.wynk,Entertainment,
com.google.android.youtube.tv,Entertainment,
com.kwai.global.video.social.kwaigo,Entertainment,
com.amazon.amazonvideo.livingroom,Entertainment,
com.metro.minus1,Entertainment,
com.motorola.dtv,Entertainment,
com.uplus.onphone,Entertainment,
com.oneplus.gamespace,Entertainment,
com.google.android.tv,Entertainment,
com.nmi.mtv.app.condor,Entertainment,
com.google.android.youtube.tvkids,Entertainment,
com.ais.mimo.AISPlay,Entertainment,
com.ss.android.article.topbuzzvideo,Entertainment,
ca.bell.wt.android.tunesappswidget,Entertainment,
it.telecomitalia.cubovision,Entertainment,
com.digiturkplay.mobil,Entertainment,
com.orbemnetworks.americatv,Entertainment,
pe.movistar.go,Entertainment,
com.audible.universal,Entertainment,
org.howcompany.randomnumber,Events,
com.doubleapaper.qr.enduser.qrenduser,Events,
com.mrtest.veryprofit,Events,
com.nellaibill.www.tn7thpay,Events,
com.kr.jpfreeunse,Events,
com.titan.ganeshotsav,Events,
sk.ipndata.meninyamenapro,Events,
ru.eventr,Events,
com.iegoart.lcr,Events,
com.ilkrmshn.kadirgecesi,Events,
br.gov.caixa.tem,Finance,
br.gov.caixa.auxilio,Finance,
com.sktelecom.tauth,Finance,
com.sbi.upi,Finance,
com.kreditpintar,Finance,
com.itau.aco,Finance,
com.beeasy.airpay,Finance,
com.nttdocomo.keitai.payment,Finance,
id.danarupiah.weshare.jiekuan,Finance,
com.micredit.in.gp,Finance,
vn.homecredit.hcvn,Finance,
com.cmcm.uangme,Finance,
com.adakami.dana.kredit.pinjaman,Finance,
com.isaku.app,Finance,
com.kkii,Finance,
jp.co.yahoo.android.yfinkeyguardwidget,Finance,
com.bajajfinance.liteapp,Finance,
com.kftc.payinfo.android,Finance,
com.app.yelonow,Finance,
jp.co.rakuten.pay,Finance,
com.fss.pnbpsp,Finance,
jp.co.akindo_sushiro.sushiroapp,Food & Drink,
com.grab.merchant,Food & Drink,
ru.instamart,Food & Drink,
tr.com.dominos,Food & Drink,
in.swiggy.deliveryapp,Food & Drink,
com.dominos.international,Food & Drink,
com.application.services.partner,Food & Drink,
ru.x5.perekrestok.darkstore,Food & Drink,
cl.com.papajohns,Food & Drink,
com.starbucks.my,Food & Drink,
com.dominos.latin.america,Food & Drink,
com.dominos.my,Food & Drink,
com.bungkusit,Food & Drink,
au.com.danmurphys,Food & Drink,
com.klg.chatime,Food & Drink,
uk.nhs.befoodsmart,Food & Drink,
com.kamikazelab.tecategames.tecate_promo01,Food & Drink,
com.starbucks.ph,Food & Drink,
com.nbt.moves,Health & Fitness,
jp.lalu.android,Health & Fitness,
kr.or.nhis.myhealthbank,Health & Fitness,
com.oyo.life,House & Home,
com.tobesoft.LH,House & Home,
br.com.vivadecora.app,House & Home,
jp.co.yahoo.android.realestate,House & Home,
com.comex.colorlife20,House & Home,
com.pocketwood.myav_sky_trial,House & Home,
com.roomsketcher.homedesigner,House & Home,
net.intersvyaz.intercom,House & Home,
kr.e777.RET,House & Home,
com.essential.resources,Libraries & Demo,
com.fchatnet.cpupro,Libraries & Demo,
com.chakumero.chakuutamuryo,Libraries & Demo,
com.ejjamtech.rambooster,Libraries & Demo,
com.booster.gfxpro,Libraries & Demo,
com.srin.indramayu,Lifestyle,
com.htc.HTCSpeaker,Lifestyle,
com.samsung.android.homemode,Lifestyle,
com.kt.android.showtouch,Lifestyle,
free.mobile.internet.data.recharge,Lifestyle,
com.ktcs.whowho,Lifestyle,
com.sony.dtv.smarthelp,Lifestyle,
com.sec.mygalaxy.NEBangS,Lifestyle,
com.coke.cokeon,Lifestyle,
com.uniqlo.kr.catalogue,Lifestyle,
com.uplus.oemsearch,Lifestyle,
jp.co.rakuten.pointpartner.app,Lifestyle,
com.fossil.wearables.watchfaces,Lifestyle,
jp.aeonretail.aeon_okaimono,Lifestyle,
tw.com.mcddaily,Lifestyle,
net.natura.cn,Lifestyle,
jp.co.rakuten.slide,Lifestyle,
com.turkcell.akk,Lifestyle,
br.com.tim.timbeta,Lifestyle,
cyberware.imagenscomfrases,Lifestyle,
com.fossil.wearables.mk,Lifestyle,
jp.co.yahoo.android.apps.navi,Maps & Navigation,
jp.sony.spot.sp,Maps & Navigation,
kt.navi,Maps & Navigation,
com.naviexpert.NaviExpert_Play,Maps & Navigation,
com.lguplus.navi,Maps & Navigation,
com.ptvag.android.adacgasprices,Maps & Navigation,
jp.co.val.expert.android.aio,Maps & Navigation,
air.StrelkaHUDFREE,Maps & Navigation,
com.tig_gis.ling,Maps & Navigation,
com.skplanet.tmaplink,Maps & Navigation,
tw.com.ainvest.outpack,Maps & Navigation,
jp.co.wnexco.android.ihighway,Maps & Navigation,
com.lalamove.client.india,Maps & Navigation,
kr.co.iparking.android,Maps & Navigation,
com.kakao.taxi.driver,Maps & Navigation,
com.skn.zamong2,Maps & Navigation,
com.kakao.cp.driver,Maps & Navigation,
com.navitime.local.cycle,Maps & Navigation,
com.pg.pampers.primakulubu,Medical,
ru.mos.socmon,Medical,
br.com.doctoralia,Medical,
com.google.android.youtube.tvmusic,Music & Audio,
com.spotify.tv.android,Music & Audio,
br.com.vodain.ringbacktones,Music & Audio,
com.telecomitalia.cubomusica,Music & Audio,
com.melon.langitmusik,Music & Audio,
com.kddi.android.UtaPass,Music & Audio,
com.sprint.android.musicplus2033,Music & Audio,
com.rhapsody.vivomusica,Music & Audio,
jp.nhk.netradio,Music & Audio,
com.ss.android.article.mynews.br,News & Magazines,
com.moppoindia.lopscoop,News & Magazines,
jp.or.nhk.news,News & Magazines,
jp.co.nttdocomo.ichannel,News & Magazines,
live.free.tv_jp,News & Magazines,
live.free.tv_tw,News & Magazines,
jp.trilltrill.trill,News & Magazines,
com.nttdocomo.dmagazine,News & Magazines,
com.yahoo.mobile.client.android.newstw,News & Magazines,
jp.sony.mybravia,News & Magazines,
com.personal.personalrevistas,News & Magazines,
com.hutchison3g.at.kiosk,News & Magazines,
com.vtv.sports,News & Magazines,
com.ssgcp.app,News & Magazines,
com.pg.clubpampers.android.de,Parenting,
it.rai.digital.yoyo,Parenting,
com.pg.clubpampers.android.jp,Parenting,
com.wachanga.russianbabynames,Parenting,
id.co.bebeclub,Parenting,
com.pg.clubpampers.tier2.android.es,Parenting,
id.co.enfa,Parenting,
com.tappytaps.android.babymonitor3g,Parenting,
com.viva.viva_kindoc,Parenting,
com.mti.lunababy,Parenting,
com.moms.lullaby,Parenting,
com.moms.dday,Parenting,
com.moms.babysound,Parenting,
com.moms.vaccination,Parenting,
au.com.penguinapps.android.babyfeeding.client.android.pro,Parenting,
id.co.nutriclubindonesia,Parenting,
com.locationlabs.familyshield.wind,Parenting,
com.tappytaps.android.babymonitoralarm.full,Parenting,
com.myhummy.SzumisieAndroid,Parenting,
com.motorola.actions,Personalization,
com.motorola.moto,Personalization,
com.asus.easylauncher,Personalization,
com.asus.themeapp,Personalization,
net.oneplus.launcher,Personalization,
com.sony.dtv.HomeTheatreControl,Personalization,
com.asus.themes.freshgreen,Personalization,
com.asus.themes.lovelypink,Personalization,
com.motorola.livewallpaper3,Personalization,
com.motorola.camera2,Photography,
com.sonymobile.android.addoncamera.timeshift,Photography,
com.motorola.photoeditor,Photography,
com.sonymobile.backgrounddefocus,Photography,
com.motorola.camera2.content.ai,Photography,
com.oneplus.gallery,Photography,
com.motorola.imagertuning_lake,Photography,
com.motorola.arselfie,Photography,
com.motorola.imagertuning_foles,Photography,
com.sonymobile.androidapp.cameraaddon.infoeye,Photography,
com.motorola.imagertuning_harpia,Photography,
com.motorola.imagertuning_athene,Photography,
com.motorola.cameramod,Photography,
com.sonymobile.scan3d,Photography,
com.motorola.imagertuning_lima,Photography,
com.motorola.imagertuning_sanders,Photography,
com.htc.camera2,Photography,
com.motorola.imagertuning_james,Photography,
com.motorola.imagertuning_V2,Photography,
com.motorola.ccc.notification,Productivity,
com.asus.asusincallui,Productivity,
com.sonymobile.getmore.client,Productivity,
com.tracfone.wifiutility,Productivity,
com.micromaxinfo.analytics,Productivity,
com.tracfone.wifiutility2,Productivity,
com.archos.filemanager,Productivity,
de.dhl.paket,Productivity,
com.att.deviceunlock,Productivity,
jp.co.yahoo.android.ycalendar,Productivity,
com.acer.android.home,Productivity,
br.com.correios.preatendimento,Productivity,
com.oneandone.controlcenter,Productivity,
com.shopee.br,Shopping,
com.shopee.vn,Shopping,
com.kouzoh.mercari,Shopping,
ru.samsung.catalog,Shopping,
com.samsung.ecomm.global.in,Shopping,
com.alfamart.alfagift,Shopping,
com.boticario.mobile,Shopping,
com.amazon.widgets,Shopping,
com.privalia.it,Shopping,
com.molo.dominos,Shopping,
es.ofertia.android,Shopping,
com.kakao.style,Shopping,
mx.trendier,Shopping,
br.com.elo7.appbuyer,Shopping,
com.htc.sense.socialnetwork.facebook,Social,
com.plaeskado.punpop.sso,Social,
br.gov.sp.prodesp.pptdigital,Social,
com.transsnet.news.more.ke,Social,
eu.livesport.MyScore_ru,Sports,
com.sec.android.app.myfiles,Tools,
com.samsung.android.lool,Tools,
com.samsung.android.app.aodservice,Tools,
com.google.android.apps.assistant,Tools,
com.motorola.genie,Tools,
com.mi.android.globalpersonalassistant,Tools,
com.motorola.motodisplay,Tools,
com.motorola.timeweatherwidget,Tools,
com.sony.snei.np.android.account,Tools,
com.motorola.help,Tools,
com.motorola.timezonedata,Tools,
com.google.android.katniss,Tools,
com.motorola.mya,Tools,
com.google.android.apps.mediashell,Tools,
com.sprint.ms.smf.services,Tools,
com.google.android.tv.remote.service,Tools,
com.lge.appcatalog.v2,Tools,
com.google.android.tvrecommendations,Tools,
com.htc.android.worldclock,Tools,
com.motorola.faceunlock,Tools,
com.google.android.tvlauncher,Tools,
com.sonymobile.support,Tools,
com.lenovo.FileBrowser2,Tools,
com.att.android.attsmartwifi,Tools,
com.htc.mirrorlinkserver,Tools,
com.htc.AutoMotive,Tools,
com.samsung.th.galaxyappcenter,Tools,
com.asus.gamewidget,Tools,
com.hmdglobal.camera2,Tools,
com.oneplus.account,Tools,
com.oneplus.brickmode,Tools,
com.att.dh,Tools,
com.sonymobile.assist,Tools,
com.htc.sense.ime.langpack.xchi,Tools,
br.gov.dataprev.carteiradigital,Tools,
com.motorola.gamemode,Tools,
com.htc.contacts,Tools,
com.reliancejio.mobilesecurity,Tools,
com.magiear.handsfree.assistant,Tools,
com.oneplus.twspods,Tools,
com.motorola.modservice,Tools,
com.cris.utsmobile,Travel & Local,
com.vznavigator.SCHI545,Travel & Local,
com.gojek.driver.bike,Travel & Local,
air.StrelkaSDFREE,Travel & Local,
com.kscc.xzz.mbl,Travel & Local,
com.vznavigator.Tablet,Travel & Local,
com.irctc.tourism_new,Travel & Local,
com.gojek.partner,Travel & Local,
com.withweb.hoteltime,Travel & Local,
com.samsung.android.videolist,Video Players & Editors,
com.motorola.MotGallery2,Video Players & Editors,
com.htc.wifidisplay,Video Players & Editors,
com.video.music,Video Players & Editors,
com.htc.video,Video Players & Editors,
com.vstatus.premium,Video Players & Editors,
com.ipg.gguide.dcm_app.android,Video Players & Editors,
com.ipg.gguide.sbm_app.android,Video Players & Editors,
com.lgi.orionandroid,Video Players & Editors,
