appID, appName,rating,max_installs,category
com.google.android.projection.gearhead,Android Auto,4.3,1976625745,Auto & Vehicles
com.autoscout24,AutoScout24: Buy & sell cars,4.5,32747873,Auto & Vehicles
com.taxsee.taxsee,maxim — order taxi; food and groceries delivery,4.8,25948237,Auto & Vehicles
de.mobile.android.app,mobile.de – Germany‘s largest car market,4.6,21481894,Auto & Vehicles
com.lelic.speedcam,Speed Camera Radar,4.4,14768857,Auto & Vehicles
ru.gibdd_pay.app,Штрафы ГИБДД официальные: с фотографией; проверка,4.8,14653409,Auto & Vehicles
kz.kolesa,Kolesa.kz — авто объявления,4.5,14049689,Auto & Vehicles
com.devplank.masterplaca,Consulta Placa Detran Multa e Fipe,4.6,13809510,Auto & Vehicles
ru.rosfines.android,РосШтрафы Штрафы ГИБДД с фотографией оплата онлайн,4.8,12179995,Auto & Vehicles
ru.farpost.dromfilter,Дром – цены на машины,4.8,12136961,Auto & Vehicles
com.girnarsoft.cardekho,CarDekho: Buy/Sell New & Second-Hand Cars; Prices,4.6,10212356,Auto & Vehicles
com.ProcessGames.AventadorDriftSimulator,Aventador Drift Simulator,4.3,9192423,Auto & Vehicles
com.BestGames.FlyingCarSimulatorDriver,Real Flying Car Simulator Driver,3.7,9138543,Auto & Vehicles
org.reactivephone,Рэй.Штрафы ПДД - ГИБДД; ОСАГО онлайн,4.6,8855219,Auto & Vehicles
com.cars.android,Cars.com – New & Used Vehicles,4.3,8337127,Auto & Vehicles
com.gigigo.ipirangaconectcar,abastece-aí: posto; cashback, carteira digital pix,3.6,8264544,Auto & Vehicles
com.ovz.carscanner,Car Scanner ELM OBD2,4.7,8076447,Auto & Vehicles
com.trovit.android.apps.cars,Used cars for sale - Trovit,4,8042414,Auto & Vehicles
com.its.rto,Rutaxi.Online,2.7,7955236,Auto & Vehicles
com.szinteractive.TrafficRace,POV Car Driving,4,7822972,Auto & Vehicles
com.carwale,CarWale: Buy-Sell New & Used Cars; Prices & Offers,4.6,7710810,Auto & Vehicles
br.com.icarros.androidapp,iCarros- Comprar e Vender Carros,4.3,7625468,Auto & Vehicles
jabi.pdd2,Билеты ПДД 2021 Экзамен ПДД,4.9,7492709,Auto & Vehicles
com.paybyphone,PayByPhone,4,7010314,Auto & Vehicles
com.pnn.obdcardoctor,inCarDoc - OBD2 ELM327 Car Scanner,4,6852073,Auto & Vehicles
ru.drom.pdd.android.app,Билеты ПДД 2021 и Экзамен ПДД онлайн правила ПДД,4.9,6844014,Auto & Vehicles
com.region,Все коды регионов + Штрафы ГИБДД,4.7,6739802,Auto & Vehicles
uk.co.autotrader.androidconsumersearch,Auto Trader: Buy new & used cars. Search car deals,4.7,6710571,Auto & Vehicles
ru.rutaxi.vezet,Везёт (Рутакси) — заказ такси,2.1,6448752,Auto & Vehicles
