appID, appName,rating,max_installs,category
com.arcsoft.perfect365,Perfect365: One-Tap Makeover,4.3,53849836,Beauty
mmapps.mirror.free,Mirror Plus: Mirror with Light for Makeup & Beauty,4.3,41505377,Beauty
com.lyrebirdstudio.beauty,Beauty Makeup Editor: Beauty Camera; Photo Editor,4.1,32076828,Beauty
com.northpark.beautycamera,Beauty Camera - Selfie Camera,4.1,23919811,Beauty
com.Fashion.Nails.Girls.Game,Fashion Nails 3D Girls Game,3.7,16085429,Beauty
com.perfectcorp.ycn,YouCam Nails - Manicure Salon for Custom Nail Art,4.3,15838380,Beauty
com.dsrtech.menhairstyles,Hairy - Men Hairstyles beard & boys photo editor,3.9,11666465,Beauty
com.luckystars.hairstylesstepbystep,Hairstyles step by step for girls,4.1,9457429,Beauty
jp.hotpepper.android.beauty.hair,ヘア&ビューティーサロン検索/ホットペッパービューティー,4.5,9434775,Beauty
com.dsrtech.macho,Macho - Man makeover app & Photo Editor for Men,3.8,9180397,Beauty
com.tj.dslrprofessional.hdcamera,DSLR HD Camera : 4K HD Camera Ultra Blur Effect,3.9,9026840,Beauty
heart.crown.camera.effect.snap.photoeditor.heartcrowncamera.stickers,Crown Editor - Heart Filters for Pictures,3.9,7813579,Beauty
com.piupiuapps.hairstyles,Hairstyles step by step,4.4,7651901,Beauty
best.photo.app.weddinghairstyles2018,Wedding Hairstyles 2020,3.9,7568433,Beauty
com.tool.beauty.plus.beautycamplus,Beauty Cam : Beauty Plus Camera,3.4,7496085,Beauty
com.yuapp.beautycamera.selfie.makeup,YuFace: Makeup Camera; Makeover Face Editor Magic,4.4,7413964,Beauty
google.free.icequeen.peachygamesllc,Ice Queen - Dress Up & Makeup,4.2,7313753,Beauty
com.lomographic.vintage.camera.filters,camera for instagram filters & effects: IG filters,4.2,6484792,Beauty
beauty.selfiecamera.beautycam.youbeautymakeup,Beauty Camera : You Makeover Plus Selfie,3.8,6437540,Beauty
kr.co.company.hwahae,Hwahae - analyzing cosmetics,4.1,6200451,Beauty
com.jkfantasy.camera.jkpmirrorcamera,Mirror Camera  (Mirror + Selfie Camera),4.2,5974006,Beauty
best.photo.app.womanjewelry,Woman Jewelry Best Jewellery,3.7,5548857,Beauty
com.barilab.handmirror.googlemarket,Mirror - Zoom & Exposure -,4.2,5512654,Beauty
pcm.art.heart.camera,Heart Camera,3.6,5377974,Beauty
com.VAD.Short.Dress.Girl.Photo.Montage,Short Dress Girl Photo Montage,3.3,5371585,Beauty
net.booksy.customer,Booksy - book local beauty appointments 24/7,4.9,5058909,Beauty
haircolour.hairstyle.photoeditor.haircolorchanger,Hair Color Changer: Change your hair color booth,3.8,5003504,Beauty
crown.heart.photo.editor,Crown Heart Photo Editor,4.2,4867568,Beauty
com.sephora,Sephora - Buy Makeup; Cosmetics, Hair & Skincare,4.7,4770168,Beauty
br.art.code.meucronogramacapilar,My Capillary Schedule,4.8,4646425,Beauty
photo.smile.red.eyes.changer.color,FoxEyes - Change Eye Color by Real Anime Style,4.2,4643607,Beauty
kynguyen.app.mirror,Mirror - Makeup and Shaving - Compact mirror,4.6,4457275,Beauty
