appID, appName,rating,max_installs,category
com.naver.linewebtoon,WEBTOON,4.6,85170436,Comics
com.nhn.android.webtoon,네이버 웹툰 - Naver Webtoon,3.9,33664301,Comics
mobi.mangatoon.comics.aphone,MangaToon-Good comics; Great stories,4.4,25754944,Comics
com.appmag.endless.temple.princessfinaljungleozrunfrozen,Temple Princess Lost Oz Run,4.1,16119024,Comics
com.zalivka.animation2,Draw Cartoons 2: Skeletal Animation Studio,4.5,13515595,Comics
net.daum.android.webtoon,다음웹툰 - DAUM WEBTOON,3.4,12570581,Comics
com.kauf.talking.baum.TalkingJamesSquirrel,Talking James Squirrel - Virtual Pet,4.3,12051796,Comics
com.iconology.comics,Comics,3.8,11046129,Comics
com.marvel.comics,Marvel Comics,3.9,10172907,Comics
com.sundev.memestickers,Brazil Funny Memes - Stickers WAStickerApps,4,9602711,Comics
br.com.escolhatecnologia.voztradutor,Translator Women's Voice,4.3,9369544,Comics
com.creative.Learn.to.draw.princess,How To Draw Princess,4.1,8463257,Comics
jp.comico,comico オリジナル漫画が毎日読めるマンガアプリ コミコ,4,7967161,Comics
com.webcomics.manga,WebComics,4.1,7814530,Comics
com.lezhin.comics,Lezhin Comics - Daily Releases,4.1,6993666,Comics
com.energysh.drawshow,How to draw anime & manga with tutorial - DrawShow,4.4,6795671,Comics
com.colorjoy.learn.to.draw.glow.comics,Draw Glow Comics,4.2,6450965,Comics
com.rookiestudio.perfectviewer,Perfect Viewer,4.2,5931546,Comics
com.gns.army.commando.counterattack.fps.snipergame,IGI Sniper 2019: US Army Commando Mission,4.1,5815805,Comics
learn.to.draw.glow.cartoon,Learn to Draw Cartoon,3.9,5769957,Comics
com.access_company.android.sh_jumpplus,少年ジャンプ＋最強人気オリジナルマンガや電子書籍、アニメ原作コミックが無料で毎日更新の漫画雑誌アプリ,3.1,5302548,Comics
com.COMICSMART.GANMA,GANMA! (ガンマ)　話題の漫画が盛りだくさん！無料で全話を読めるオリジナル連載マンガも！,4.1,5011882,Comics
jp.co.shueisha.mangaplus,MANGA Plus by SHUEISHA,3.9,4967856,Comics
