appID, appName,rating,max_installs,category
com.badoo.mobile,Badoo — The Dating App to Chat; Date & Meet People,4,286283642,Dating
com.zoosk.zoosk,Zoosk - Online Dating App to Meet New People,3.6,37576471,Dating
com.okcupid.okcupid,OkCupid - The Online Dating App for Great Dates,3.8,30823577,Dating
com.bumble.app,Bumble – Dating; Make New Friends & Networking,3.2,28290341,Dating
com.hotornot.app,Chat & Date: Dating Made Simple to Meet New People,3.9,26392606,Dating
com.dartushinc.videocall,Video Call Advice and Live Chat with Video Call,3.9,24641362,Dating
com.jaumo.prime,BLOOM — Premium Dating & Find Real Love,4.4,22586384,Dating
ru.fotostrana.sweetmeet,Dating and Chat - SweetMeet,4.1,22354891,Dating
dating.app.chat.flirt.wgbcv,Free Dating App & Flirt Chat - Match with Singles,4.4,19294429,Dating
ru.mobstudio.andgalaxy,Galaxy - Chat Rooms: Meet New People Online & Date,3.6,18538790,Dating
com.jaumo.casual,Joyride – Meet; Chat, Pla‪y & Date,4.4,18448586,Dating
com.choiceoflove.dating,Free Dating & Flirt Chat - Choice of Love,3.4,16252663,Dating
com.match.android.matchmobile,Match Dating: Chat; Date & Meet Someone New,3.3,14969015,Dating
com.dating.android,Dating.com™: meet new people online - chat & date,3.9,13489089,Dating
com.hily.app,Hily Dating App: Connect singles. Find love. Date!,4.5,13149704,Dating
com.matchlatam.parperfeitoapp,Par Perfeito: Encontros; Namoro, Relacionamento,4.1,12512139,Dating
com.evermatch,Dating for serious relationships - Evermatch,4.1,11436509,Dating
com.random.chat.app,RandoChat - Chat roulette,3.3,9728563,Dating
net.ilius.android.meetic,Meetic – Amour et rencontre entre célibataires,3.8,9101655,Dating
com.eharmony,eharmony – Online Dating Made For Real Love,3.1,8058876,Dating
ru.loveplanet.app,LP: Dating Cam; Video Chat & Live Talk,4,8045151,Dating
mingle.android.mingle2,Mingle2 - Dating; Make Friends and Meet Singles,4.4,8041275,Dating
co.hinge.app,Hinge - Dating & Relationships,3.4,7867750,Dating
de.appfiction.yocutiegoogle,YoCutie - 100% Free Dating App,4,7797998,Dating
