appID, appName,rating,max_installs,category
com.duolingo,Duolingo: Learn Languages Free,4.6,261431130,Education
com.google.android.apps.classroom,Google Classroom,2.6,212017279,Education
com.samsung.sree,Samsung Global Goals,4.5,192681575,Education
com.microblink.photomath,Photomath,4.7,147356790,Education
com.youdao.hindict,U-Dictionary: Oxford Dictionary Free Now Translate,4.5,125828709,Education
co.brainly,Brainly – Home Learning & Homework Help,4.3,110644398,Education
com.byjus.thelearningapp,BYJU'S – The Learning App,4.2,91499985,Education
me.mycake,Cake - Learn English for Free,4.8,69941784,Education
com.bible.kids,Bible App for Kids: Audio & Interactive Stories,4.3,51747802,Education
com.CultureAlley.japanese.english,Hello English: Learn English,4.5,47368914,Education
no.mobitroll.kahoot.android,Kahoot! Play & Create Quizzes,4.6,47262185,Education
com.babbel.mobile.android.en,Babbel - Learn Languages - Spanish; French & More,4.5,42930494,Education
com.unacademyapp,Unacademy Learning App,4.2,41029496,Education
com.joytunes.simplypiano,Simply Piano by JoyTunes,4.3,40997929,Education
example.matharithmetics,Math Tricks,4.5,36936734,Education
com.doubtnutapp,Doubtnut: NCERT Solutions; Free IIT JEE & NEET App,4.1,35448124,Education
com.vedantu.app,Vedantu: LIVE Learning App | Class 1-12; JEE, NEET,4.3,34097932,Education
com.busuu.android.enc,Busuu - Learn Languages - Spanish; Japanese & More,4.4,33623392,Education
com.meb.vbsmobil,MEB E-OKUL VBS,2.6,32462856,Education
kr.co.smartstudy.babyshark_android_googlemarket,Pinkfong Baby Shark,4,32453553,Education
com.memrise.android.memrisecompanion,Language Learning - Spanish; Korean, French & More,4.6,32340675,Education
com.tocaboca.tocakitchen,Toca Kitchen,3.8,30882228,Education
com.classdojo.android,ClassDojo,4.1,29832797,Education
com.fusionprojects.edmodo,Edmodo,3.7,29234409,Education
com.ted.android,TED,4.6,28512452,Education
com.bagatrix.mathway.android,Mathway: Scan Photos; Solve Problems,4.5,26638055,Education
com.mathpresso.qanda,QANDA: Free Math Solutions,4.2,26404050,Education
com.brainbow.peak.app,Peak – Brain Games & Training,4.3,25840732,Education
com.forqan.tech.Jobs,Kids Learn Professions,4,24384065,Education
com.yousician.yousician,Yousician - Guitar; Ukulele, Bass and Singing,4.3,23983290,Education
es.monkimun.lingokids,Lingokids - A fun learning adventure,4.5,23197131,Education
cn.danatech.xingseus,PictureThis: Identify Plant; Flower, Weed and More,4.5,23196717,Education
com.quizlet.quizletandroid,Quizlet: Learn Languages & Vocab with Flashcards,4.6,23098521,Education
