appID, appName,rating,max_installs,category
com.ticketmaster.mobile.android.na,Ticketmaster－Buy; Sell Tickets to Concerts, Sports,3.7,14691214,Events
com.greetingsisland.sam,Invitation maker & Card design by Greetings Island,4.6,9973338,Events
com.stubhub,StubHub - Live Event Tickets,4.2,8390847,Events
com.seatgeek.android,SeatGeek – Tickets to Sports; Concerts, Broadway,4.1,4720090,Events
com.gametime.gametime,Gametime - Tickets to Sports; Concerts, Theater,4.7,3628846,Events
com.topRingtones.TikTok,Best Music Ringtones for Tik Tok,3.6,3269021,Events
com.sympla.tickets,Sympla: Ingressos Online - Evento; Curso e Passeio,3.8,3229234,Events
tv.game,game.tv,4.2,3217485,Events
splendid.invitation.maker,Invitation maker 2020 Birthday & Wedding card Free,4.7,3161076,Events
com.vividseats.android,Vivid Seats | Event Tickets,2.8,3136283,Events
com.mobisdigimedia.cricket.sports,Cricket Live Tv Sports,3.7,2910879,Events
com.kpuripemilu2019,KPU RI PEMILU 2019,3.2,2784792,Events
com.muslimappassistant.Islampro.qiblafinder.quranprayerdua,Easy Quran Mp3 Audio Offline Complete with Qibla,4.6,1994323,Events
com.rubaet.haproone,Star Sports One,4,1872768,Events
com.invitation.maker.birthday.card,Invitation Maker Free - Birthday & Wedding Card,4.7,1868686,Events
com.company.toster,Maps for Minecraft PE: skyblock survival,4.1,1798971,Events
com.survival.maps.redstone,Survival Maps,2.3,1673211,Events
com.tradevan.prec,藝FUN NEXT,2.9,1588589,Events
minecraft.mk.mods.j,Avengers Superheroes Mod for Minecraft PE - MCPE,4.4,1584862,Events
com.idol.blackpink.call,Blackpink Call Me - Call With Blackpink Idol Prank,4.4,1559211,Events
de.thegolem.freepcgames,Free PC Games Alert from Epic Games; Steam..Offers,3.8,1207503,Events
minecraft.mk.mods.h,BackPack Mod for Minecraft PE - MCPE,4.5,1162514,Events
com.sony.psexp2016,Experience PlayStation,2.3,1149325,Events
com.todaytix.TodayTix,TodayTix – Theater Tickets,4.8,1116165,Events
com.chic.colorfuldiscolights2,Disco Light: Flashlight with Strobe Light & Music,4.3,1014491,Events
com.peatix.android.Azuki,Peatix,2.6,958334,Events
countdown.reminder.widget,Add Reminder,4,926629,Events
com.codenicely.shaadicardmaker,Shaadi & Engagement Card Maker by Invitation Panda,4.3,892624,Events
info.egypt.bank,بنك المعرفة المصري,2.8,880465,Events
com.rezadev.strappfns,Live Cricket,3.4,850990,Events
draziw.leftday.widget,Days  Left (countdown timer),4.3,825304,Events
com.ticketswap.ticketswap,TicketSwap - Buy; Sell Tickets,3.5,821901,Events
tamer.android.prayertimes,Muezzin_New,4.3,807554,Events
com.ingresse.ticketbooth,Ingresse - Ingressos e Eventos,3.5,802384,Events
com.conceptworks.spontacts,Spontacts: Free Time Activities & Events Near You,3.5,773391,Events
com.tickpickllc.ceobrien.tickpick,TickPick - No Fee Tickets,4.1,768870,Events
com.chic.colorstrobeflashlight,Strobe,4,683320,Events
sk.ipndata.meninyamenafree,Name days,4.2,671964,Events
com.dssolapps.birthdaysongsfree,Happy Birthday Songs Offline,3.8,589625,Events
app.mywed.android,Wedding Planner: Checklist; Budget, Countdown,4.7,561839,Events
com.amitech.allevents,All Events in City - Discover Events On The GO,4.2,508819,Events
