appID, appName,rating,max_installs,category
com.sec.android.app.shealth,Samsung Health,3.6,1341624888,Health & Fitness
com.huawei.health,Huawei Health,4.2,422224933,Health & Fitness
nic.goi.aarogyasetu,Aarogya Setu,3.8,160870492,Health & Fitness
com.popularapp.periodcalendar,Period Tracker - Period Calendar Ovulation Tracker,4.9,148610927,Health & Fitness
homeworkout.homeworkouts.noequipment,Home Workout - No Equipment,4.9,139758150,Health & Fitness
sixpack.sixpackabs.absworkout,Six Pack in 30 Days - Abs Workout,4.9,105819808,Health & Fitness
com.myfitnesspal.android,Calorie Counter - MyFitnessPal,4.4,93437098,Health & Fitness
com.google.android.apps.fitness,Google Fit: Health and Activity Tracking,3.9,89952759,Health & Fitness
com.xiaomi.hm.health,Mi Fit,4.4,89384354,Health & Fitness
loseweight.weightloss.workout.fitness,Lose Weight at Home - Home Workout in 30 Days,4.8,79605574,Health & Fitness
org.iggymedia.periodtracker,Flo Period Tracker & Ovulation. My PMS Calendar,4.7,70265386,Health & Fitness
com.runtastic.android,adidas Running App - Your Sports & Run Tracker,4.5,65990737,Health & Fitness
losebellyfat.flatstomach.absworkout.fatburning,Lose Belly Fat at Home - Lose Weight Flat Stomach,4.8,59117290,Health & Fitness
com.fitbit.FitbitMobile,Fitbit,3.6,57360094,Health & Fitness
loseweightapp.loseweightappforwomen.womenworkoutathome,Lose Weight App for Women - Workout at Home,4.8,55910569,Health & Fitness
menloseweight.loseweightappformen.weightlossformen,Lose Weight App for Men - Weight Loss in 30 Days,4.9,54864396,Health & Fitness
pedometer.steptracker.calorieburner.stepcounter,Step Counter - Pedometer Free & Calorie Counter,4.8,49331600,Health & Fitness
women.workout.female.fitness,Women Workout at Home - Female Fitness,4.8,48846800,Health & Fitness
com.sonymobile.lifelog,Lifelog,3.9,46562697,Health & Fitness
com.strava,Strava: Track Running; Cycling & Swimming,4.4,44815905,Health & Fitness
com.popularapp.thirtydayfitnesschallenge,30 Day Fitness Challenge - Workout at Home,4.8,44355647,Health & Fitness
increaseheightworkout.heightincreaseexercise.tallerexercise,Height Increase - Increase Height Workout; Taller,4.7,43749526,Health & Fitness
com.tayu.tau.pedometer,Pedometer - Free Step Counter App & Step Tracker,4.7,43665576,Health & Fitness
com.clue.android,Clue Period Tracker; Cycle & Ovulation Calendar,4.7,40199715,Health & Fitness
com.fatsecret.android,Calorie Counter by FatSecret,4.7,39921491,Health & Fitness
buttocksworkout.hipsworkouts.forwomen.legworkout,Buttocks Workout - Hips; Legs & Butt Workout,4.8,39044079,Health & Fitness
com.nike.plusgps,Nike Run Club,4.5,38228218,Health & Fitness
com.calm.android,Calm - Meditate; Sleep, Relax,4.3,38128818,Health & Fitness
armworkout.armworkoutformen.armexercises,Arm Workout - Biceps Exercise,4.8,37541556,Health & Fitness
pedometer.stepcounter.calorieburner.pedometerforwalking,Pedometer -  Step Counter Free & Calorie Burner,4.8,37091523,Health & Fitness
com.lge.lifetracker,LG Health,3.9,36911816,Health & Fitness
com.caynax.a6w,Abs workout A6W - flat belly at home,4.5,35873350,Health & Fitness
cc.pacer.androidapp,Pacer Pedometer: Walking; Running, Step Challenges,4.7,31869106,Health & Fitness
com.fitnesskeeper.runkeeper.pro,Runkeeper - GPS Track Run Walk,4.3,31628414,Health & Fitness
tr.gov.saglik.hayatevesigar,Hayat Eve Sığar,3.6,30440092,Health & Fitness
com.freeletics.lite,Freeletics Training Coach - Bodyweight Fitness,4.4,29820783,Health & Fitness
