appID, appName,rating,max_installs,category
com.pinterest,Pinterest,4.6,615144909,Lifestyle
com.samsung.android.oneconnect,SmartThings,4.5,573242377,Lifestyle
com.tinder,Tinder - Dating; Make Friends and Meet New People,3.3,277159841,Lifestyle
com.samsung.android.spay,Samsung Pay,4.6,242571447,Lifestyle
com.google.android.apps.chromecast.app,Google Home,4,203258753,Lifestyle
com.samsung.oh,Samsung Members v1,4.1,128909552,Lifestyle
com.srin.indramayu,Samsung Gift Indonesia,4.5,108900475,Lifestyle
com.life360.android.safetymapd,Life360: Family Locator & GPS Tracker for Safety,4.4,89652214,Lifestyle
com.bitsmedia.android.muslimpro,Muslim Pro: Athan; Quran, Prayer Times Qibla Islam,4.1,82107740,Lifestyle
com.ftw_and_co.happn,happn – Local dating app,3.9,75225007,Lifestyle
com.adpog.diary,Diary with lock,4.7,75221741,Lifestyle
com.amazon.dee.app,Amazon Alexa,4.4,70801470,Lifestyle
com.dramaton.slime,Super Slime Simulator: Satisfying ASMR & DIY Games,4.4,67897001,Lifestyle
Com.sktelecom.minit,T world,4,66590190,Lifestyle
com.masarat.salati,صلاتك Salatuk (Prayer time),4.7,52129169,Lifestyle
com.lguplus.mobile.cs,U+ 고객센터,3.8,50432941,Lifestyle
com.samsung.privilege,Galaxy Gift,4,48806423,Lifestyle
slime.simulator.time.asmr,Slime Simulator Time: 3D DIY Satisfying ASMR,3.9,46961216,Lifestyle
com.mobileposse.client,metroZONE,4.3,45708276,Lifestyle
com.tms,T멤버십,2.7,45689932,Lifestyle
com.htc.HTCSpeaker,HTC Speak,4,45058920,Lifestyle
com.hm.goe,H&M - we love fashion,4.7,44752090,Lifestyle
com.htc.dotmatrix,HTC Dot View,3.8,43537933,Lifestyle
com.inditex.zara,Zara,3.6,42352200,Lifestyle
com.glovo,Glovo: Order Anything. Food Delivery and Much More,4.2,41564111,Lifestyle
com.samsung.android.homemode,Daily Board,3.8,41513335,Lifestyle
com.wavemarket.waplauncher,AT&T Secure Family™,3.4,39857336,Lifestyle
com.rcplatform.livechat,Tumile - Meet new people via free video chat,4.6,36984772,Lifestyle
com.nate.android.portalmini,nate,3.9,36938656,Lifestyle
com.kauf.talking.baum.TalkingBabsyBaby,Talking Babsy Baby,4.3,36519198,Lifestyle
com.sanhe.clipclaps,ClipClaps - Reward your interest,4.3,33433216,Lifestyle
com.lgeha.nuts,LG ThinQ,4.3,32607121,Lifestyle
com.sky.sea.cashzine,Cashzine: Buzz Interact & Get Reward Daily,4.3,30531695,Lifestyle
com.ktshow.cs,마이 케이티,4.3,30074350,Lifestyle
com.kt.android.showtouch,CLiP,3.9,29920359,Lifestyle
org.reyfasoft.reinavalera1960,Santa Biblia Reina Valera,4.9,29734311,Lifestyle
com.skt.smartbill,Bill Letter,4,28810489,Lifestyle
com.hy.sfacer,Fantastic Face – Aging Prediction; Face - gender,3.6,28081548,Lifestyle
live.ablo,Ablo - Make friends worldwide,4.1,27520374,Lifestyle
news.buzzbreak.android,BuzzBreak - Read; Funny Videos,4.3,27299637,Lifestyle
scratch.lucky.money.free.real.big.win,Lucky Money - Feel Great & Make it Rain,4.3,26748706,Lifestyle
vixr.bermuda,Bermuda Video Chat - Meet New People,4,26588007,Lifestyle
app.trell,Trell - Lifestyle Videos and Shopping App,3.9,26154579,Lifestyle
com.xiaomi.smarthome,Mi Home,4.5,24772593,Lifestyle
