appID, appName,rating,max_installs,category
com.ubercab,Uber - Request a ride,4.4,638806478,Maps & Navigation
com.waze,Waze - GPS; Maps, Traffic Alerts & Live Navigation,4.1,378234324,Maps & Navigation
com.grabtaxi.passenger,Grab Superapp,4.5,178625683,Maps & Navigation
com.olacabs.customer,Ola; Safe and affordable rides,4,126466815,Maps & Navigation
ru.dublgis.dgismobile,2GIS: directory; map, navigator without internet,4.4,93599023,Maps & Navigation
com.tranzmate,Moovit: All Local Transit & Mobility Options,4.5,90803098,Maps & Navigation
com.sygic.aura,Sygic GPS Navigation & Offline Maps,4.6,84594576,Maps & Navigation
ru.yandex.taxi,Yandex Go — taxi and delivery,4.9,81134494,Maps & Navigation
com.taxis99,99 - Private Driver and Taxi,4.1,80512114,Maps & Navigation
sinet.startup.inDriver,inDriver — Better than a taxi,4.7,76090236,Maps & Navigation
ru.yandex.yandexmaps,Yandex.Maps – Transport; Navigation, City Guide,4.4,69943840,Maps & Navigation
com.didiglobal.passenger,DiDi-Rider,4,44454911,Maps & Navigation
me.lyft.android,Lyft - Rideshare; Bikes, Scooters & Transit,3.6,44074938,Maps & Navigation
com.careem.acma,Careem - Rides; Food, Shops, Delivery & Payments,4.1,41905576,Maps & Navigation
ee.mtakso.client,Bolt: Fast; Affordable Rides,4.7,36971921,Maps & Navigation
com.mapfactor.navigator,MapFactor Navigator - GPS Navigation Maps,4.6,35668566,Maps & Navigation
com.maps.voice.navigation.traffic.gps.location.route.driving.directions,GPS; Maps, Voice Navigation & Directions,3.9,35357776,Maps & Navigation
com.prime.studio.apps.route.finder.map,GPS Route Finder : Maps Navigation & Directions,4.4,35338621,Maps & Navigation
com.vialsoft.radarbot_free,Radarbot Free: Speed Camera Detector & Speedometer,4.5,33391976,Maps & Navigation
com.here.app.maps,HERE WeGo Maps & Navigation,4.2,32785582,Maps & Navigation
br.com.easytaxi,Easy Taxi; a Cabify app,4,30714179,Maps & Navigation
de.hafas.android.db,DB Navigator,3.8,29099669,Maps & Navigation
com.ubercab.uberlite,Uber Lite,4.4,26849762,Maps & Navigation
com.cuvora.carinfo,RTO Vehicle Information,4.5,26449426,Maps & Navigation
com.grabtaxi.driver2,Grab Driver,3.9,26333792,Maps & Navigation
com.kakao.taxi,Kakao T - Taxi; Driver, Parking, Navigation, Bike,3.6,26256584,Maps & Navigation
com.locnall.KimGiSa,카카오내비,4.2,26165921,Maps & Navigation
ru.yandex.metro,Yandex.Metro — detailed metro maps and route times,4.7,25200113,Maps & Navigation
com.cabify.rider,Cabify,4.1,23444246,Maps & Navigation
com.rapido.passenger,Rapido - Bike Taxi,4.1,23238658,Maps & Navigation
gr.androiddev.taxibeat,Beat - Ride app,3.6,23212262,Maps & Navigation
jp.co.yahoo.android.apps.transit,Yahoo!乗換案内　無料の時刻表、運行情報、乗り換え検索,4.1,21611137,Maps & Navigation
cab.snapp.passenger.play,Snapp,4.3,21470806,Maps & Navigation
com.skt.tmap.ku,T map - 내비게이션 / 지도,3.9,18448701,Maps & Navigation
teamDoppelGanger.SmarterSubway,Korean Subway : Smarter Subway,4.5,17956140,Maps & Navigation
com.citymobil,Citymobil Taxi,4,17429808,Maps & Navigation
com.navitel,Navitel Navigator GPS & Maps,3.4,17331298,Maps & Navigation
com.astroframe.seoulbus,KakaoBus,3.6,16538726,Maps & Navigation
org.mrchops.android.digihud,DigiHUD Speedometer,4.1,15809345,Maps & Navigation
com.eztech.gps.maps,GPS; Maps, Navigate, Traffic & Area Calculating,4.2,15104513,Maps & Navigation
jp.co.jorudan.nrkj,Norikae Annai -Japan Transit-,4.2,14198590,Maps & Navigation
com.mapquest.android.ace,MapQuest: Directions; Maps & GPS Navigation,4.2,13924688,Maps & Navigation
com.jvstudios.gpstracker,GPS Live Navigation; Maps, Directions and Explore,4.4,13696278,Maps & Navigation
com.lgt.tmoney,모바일티머니,4.5,13372785,Maps & Navigation
net.orizinal.subway,KakaoMetro - Subway Navigation,3.3,13337986,Maps & Navigation
com.tomtom.gplay.navapp,TomTom GO Navigation - GPS Maps & Live Traffic,4.3,13320412,Maps & Navigation
com.gettaxi.android,Gett - Worldwide Corporate Ground Travel,4.3,13220333,Maps & Navigation
com.thetrainline,Trainline - Buy cheap European train & bus tickets,4.2,13067437,Maps & Navigation
taxi.android.client,FREE NOW (mytaxi) - Taxi Booking App,4.5,12704095,Maps & Navigation
com.navfree.android.OSM.ALL,Navmii GPS World (Navfree),3.8,12703380,Maps & Navigation
jp.co.yahoo.android.apps.map,Yahoo! MAP - 【無料】ヤフーのナビ、地図アプリ,4.2,11650078,Maps & Navigation
com.citymapper.app.release,Citymapper: Directions For All Your Transportation,4.8,11410727,Maps & Navigation
ru.yandex.taximeter,Yandex Pro (Taximeter)—Driver job in taxi for ride,4,11409131,Maps & Navigation
com.huawei.maps.app,Petal Maps - Live GPS; Travel, Navigate & Traffic,3.8,11129818,Maps & Navigation
ir.balad,بلد – نقشه و مسیریاب فارسی,4.4,10973922,Maps & Navigation
com.gps.route.finder.mobile.location.tracker.maps.navigation,GPS Navigation - Map Locator & Route Planner,4.4,10890010,Maps & Navigation
com.kartatech.karta.gps,Offline GPS Navigation; Traffic & Maps by Karta,4.4,10639945,Maps & Navigation
