appID, appName,rating,max_installs,category
com.aranoah.healthkart.plus,1mg - Online Medical Store & Healthcare App,4.3,18243473,Medical
app.bpjs.mobile,Mobile JKN,3.5,17730938,Medical
ar.gob.coronavirus,CUIDAR COVID-19 ARGENTINA,3.2,16134849,Medical
com.phonegap.rxpal,PharmEasy – Online Medicine Ordering App,4.3,14350096,Medical
com.lbrc.PeriodCalendar,My Calendar - Period Tracker,4.9,13468890,Medical
com.goodrx,GoodRx: Prescription Drugs Discounts & Coupons App,4.7,13028650,Medical
com.medlife.customer,Medlife Is Now PharmEasy,4.2,12198730,Medical
epic.mychart.android,MyChart,4.2,12084241,Medical
uk.nhs.covid19.production,NHS COVID-19,4.5,11040496,Medical
com.szyk.myheart,Blood Pressure,4.1,11009574,Medical
fr.gouv.android.stopcovid,TousAntiCovid,4.2,10783273,Medical
com.webmd.android,WebMD: Check Symptoms; Rx Savings, & Find Doctors,4.4,10263682,Medical
com.docsapp.patients,DocsApp - Consult Doctor Online 24x7 on Chat/Call,4.1,9738900,Medical
ru.mobiledimension.kbr,AMMA Pregnancy Tracker & Baby Due Date Calculator,4.7,8871593,Medical
com.NetmedsMarketplace.Netmeds,Netmeds - India’s Trusted Online Pharmacy App,4.3,8770066,Medical
com.smsrobot.period,Period and Ovulation Tracker,4.8,8572492,Medical
com.practo.fabric,Practo: Online Doctor Consultations & Appointments,4.5,8069599,Medical
com.ada.app,Ada – check your health,4.7,7899243,Medical
jp.go.mhlw.covid19radar,COCOA - COVID-19 Contact App,2.2,7759690,Medical
tr.gov.saglik.MHRSMOBIL,MHRS,4.2,7657772,Medical
it.ministerodellasalute.immuni,Immuni,2.2,7574283,Medical
com.alodokter.android,Alodokter - Chat Bersama Dokter,4.6,7353607,Medical
com.linkdokter.halodoc.android,Halodoc - Doctors; Health Store & Appointments,4.8,7266413,Medical
com.medscape.android,Medscape,4.6,7185026,Medical
fr.doctolib.www,Doctolib - Prise de rendez-vous en ligne,4.8,7058238,Medical
