appID, appName,rating,max_installs,category
com.google.android.apps.youtube.music,YouTube Music,4.2,1067343725,Music & Audio
com.google.android.music,YouTube Music,4.2,1065181427,Music & Audio
com.spotify.music,Spotify: Listen to podcasts & find music you love,4.4,1033938669,Music & Audio
com.sec.android.app.music,Samsung Music,3.7,862678090,Music & Audio
com.miui.player,Mi Music,4.1,793353160,Music & Audio
com.shazam.android,Shazam: Discover songs & lyrics in seconds,4.4,552250790,Music & Audio
com.motorola.fmplayer,FM Radio,4.1,379008865,Music & Audio
com.soundcloud.android,SoundCloud - Play Music; Podcasts & New Songs,4.6,319132635,Music & Audio
deezer.android.app,Deezer Music Player: Songs; Playlists & Podcasts,4.5,300607105,Music & Audio
com.smule.singandroid,Smule: Social Karaoke Singing,3.8,294622295,Music & Audio
com.pandora.android,Pandora - Streaming Music; Radio & Podcasts,4.2,271939378,Music & Audio
com.gaana,Hindi Songs;Tamil Indian Gana,Bhajan MP3 Music App,4.2,271388611,Music & Audio
com.jio.media.jiobeats,JioSaavn Music & Radio – JioTunes; Podcasts, Songs,4.2,267909705,Music & Audio
com.springwalk.mediaconverter,MP3 Video Converter,4.5,240663118,Music & Audio
com.amazon.mp3,Amazon Music: Stream and Discover Songs & Podcasts,4.3,230875424,Music & Audio
com.sonyericsson.music,Music,3.7,219941166,Music & Audio
com.bsbportal.music,Wynk Music- New MP3 Hindi Tamil Song & Podcast App,4.3,198464710,Music & Audio
com.starmakerinteractive.starmaker,StarMaker: Sing free Karaoke; Record music videos,4.4,189107616,Music & Audio
com.studiosol.palcomp3,Palco MP3,4.2,178482917,Music & Audio
com.dywx.larkplayer,Music Player & MP3 Player - Lark Player,4.7,175800285,Music & Audio
tunein.player,TuneIn Radio: News; Sports & Online Music Stations,4.5,158758429,Music & Audio
com.sofeh.android.musicstudio3,ORG 2022,4.3,153836203,Music & Audio
com.tencent.ibg.joox,JOOX Music,4.4,142736402,Music & Audio
com.fundevs.app.mediaconverter,Video MP3 Converter,4.4,140179046,Music & Audio
com.google.android.apps.podcasts,Google Podcasts: Discover free & trending podcasts,4.6,125551620,Music & Audio
com.agminstruments.drumpadmachine,Drum Pad Machine - Beat Maker & Music Maker,4.4,124720621,Music & Audio
com.afmobi.boomplayer,Boomplay: Download Music Enjoy Offline Music Free,4.6,124125332,Music & Audio
com.atomic.apps.ringtone.cutter,MP3 Cutter and Ringtone Maker♫,4.2,118988230,Music & Audio
com.melodis.midomiMusicIdentifier.freemium,SoundHound - Music Discovery & Lyrics,4.4,114497647,Music & Audio
com.gamestar.perfectpiano,Perfect Piano,4.3,110236107,Music & Audio
mbinc12.mb32b,Free Music MP3 Player (Download LITE),4.5,109452044,Music & Audio
media.music.musicplayer,Music Player - Audio Player,4.5,104933413,Music & Audio
br.com.rodrigokolb.realdrum,REAL DRUM: Electronic Drum Set,4.3,104784439,Music & Audio
com.slacker.radio,LiveXLive - Streaming Music and Live Events,4.3,98280747,Music & Audio
com.atpc,Free Music Downloader Download MP3. YouTube Player,4,95153614,Music & Audio
com.zing.mp3,Zing MP3,4.3,95126569,Music & Audio
com.musicplayer.music,Default Music Player,4.4,93794206,Music & Audio
com.gamestar.pianoperfect,Walk Band - Multitracks Music,4.2,93325462,Music & Audio
media.audioplayer.musicplayer,Music Player,4.5,92071316,Music & Audio
com.tencent.wesing,WeSing - Sing Karaoke & Free Videoke Recorder,4.4,87912278,Music & Audio
com.smule.magicpiano,Magic Piano by Smule,4.2,87762520,Music & Audio
hr.podlanica,Music Volume EQ — Equalizer Sound & Bass Booster,4.5,87120860,Music & Audio
com.maxmpz.audioplayer,Poweramp Music Player (Trial),4.5,84583459,Music & Audio
com.clearchannel.iheartradio.controller,iHeartRadio: Radio; Podcasts & Music On Demand,4.6,81621804,Music & Audio
com.musicplayer.player.mp3player.white,Music Player,4.6,79808607,Music & Audio
com.edjing.edjingdjturntable,edjing Mix - Free Music DJ app,4.4,79618406,Music & Audio
com.moonvideo.android.resso,Resso,4.2,73694773,Music & Audio
com.apple.android.music,Apple Music,3.7,69148077,Music & Audio
com.bestringtonesapps.freeringtonesforandroid,Free Ringtones for Android™,4.6,68255139,Music & Audio
com.musixmatch.android.lyrify,Musixmatch - Lyrics for your music,4.4,67790812,Music & Audio
bestSoftRocket.freeMp3Downloads,Free Mp3 Downloads,3.3,67740504,Music & Audio
com.jrtstudio.music,Music Player,4.6,66801095,Music & Audio
musicplayer.musicapps.music.mp3player,Music Player - MP3 Player; Audio Player,4.8,65923041,Music & Audio
com.radio.fmradio,Radio FM,4.6,64419288,Music & Audio
com.rubycell.pianisthd,Piano +,4.4,64033760,Music & Audio
free.zaycev.net,Zaycev.Net - music and songs in mp3 no Internet,4.4,63886534,Music & Audio
com.jiubang.go.music,GO Music - Offline & online music; free MV, MP3,4,61741699,Music & Audio
com.easybrain.make.music,Groovepad - Music & Beat Maker,4.7,60462533,Music & Audio
com.famousbluemedia.yokee,Karaoke - Sing Karaoke; Unlimited Songs,4,58081548,Music & Audio
com.bti.myPiano,My Piano - Record & Play,4.3,57707824,Music & Audio
com.beatronik.djstudiodemo,DJ Studio 5 - Free music mixer,4.3,56344091,Music & Audio
com.anghami,Anghami - Play; discover & download new music,4.6,56000295,Music & Audio
com.djit.apps.stream,Free music player for YouTube: Stream,4.6,55921782,Music & Audio
com.media.music.mp3.musicplayer,Music player,4.7,55156532,Music & Audio
com.nextradioapp.nextradio,NextRadio Free Live FM Radio,3.8,51343569,Music & Audio
music.musicplayer,Audio & Music Player,4.6,51055429,Music & Audio
com.streema.simpleradio,Simple Radio – Free Live AM FM Radio & Music App,4.6,50488828,Music & Audio
ru.yandex.music,Яндекс.Музыка и Подкасты – скачивайте и слушайте,4.5,48674841,Music & Audio
com.shaiban.audioplayer.mplayer,Music Player - MP3 Player,4.8,48003407,Music & Audio
com.tpvapps.simpledrumsrock,Simple Drums Rock - Realistic Drum Simulator,4.2,47961590,Music & Audio
com.Project100Pi.themusicplayer,Pi Music Player - Free Music Player; YouTube Music,4.7,46685062,Music & Audio
com.hungama.myplay.activity,Hungama Music - Stream & Download MP3 Songs,4,46087896,Music & Audio
com.music.player.mp3player.white,MP3 Player,4.6,45714317,Music & Audio
com.audiomack,Audiomack: Download New Music Offline Free,4.6,45152501,Music & Audio
ht.nct,NhacCuaTui,4.1,42664498,Music & Audio
hr.palamida,Dub Music Player - Free Audio Player; Equalizer 🎧,4.6,40941747,Music & Audio
com.search.music.mp3.musicplayer,Music player,4.6,40713837,Music & Audio
com.splendapps.voicerec,Voice Recorder Pro,4.7,39648049,Music & Audio
br.com.rodrigokolb.realguitar,REAL GUITAR: Virtual Guitar Free,4.2,38125273,Music & Audio
ringtone.maker.mp3.cutter.audio,MP3 Cutter and Ringtone Maker,4.8,37982224,Music & Audio
mp3songs.mp3player.mp3cutter.ringtonemaker,MP3 Player,4.5,37843589,Music & Audio
suamusica.suamusicaapp,Sua Música,4.2,37803369,Music & Audio
com.smule.autorap,AutoRap by Smule: Record rap over beats w/vocal FX,3.9,37634401,Music & Audio
com.telcel.imk,Claro Música,4.1,37620507,Music & Audio
com.splendapps.vox,Voice Recorder,4.6,36960155,Music & Audio
com.aimp.player,AIMP,4.5,36848771,Music & Audio
com.claro.claromusica.latam,Claro música,4.3,36456616,Music & Audio
com.andrwq.recorder,Smart Recorder – High-quality voice recorder,4.6,36309879,Music & Audio
com.musicplayer.playermusic,Music Player,4.8,36204394,Music & Audio
com.music.hero.music.player.mp3.free,Music Player - Mp3 Player,4.6,35771486,Music & Audio
com.appzcloud.audioeditor,Audio MP3 Cutter Mix Converter and Ringtone Maker,4.3,35316545,Music & Audio
mp3.cutter.ringtone.maker.trimmer,MP3 Cutter,4.6,35244977,Music & Audio
com.media.bestrecorder.audiorecorder,Voice Recorder,4.7,35112632,Music & Audio
com.opalastudios.pads,SUPER PADS - Become a DJ!,4.4,34649815,Music & Audio
com.cool.volume.sound.booster,Volume Booster PRO - Sound Booster for Android,4.7,33785044,Music & Audio
com.musicstreaming.freemusic,Free Music,4.5,33696347,Music & Audio
com.jam.endo,Jam Music,4.1,33409396,Music & Audio
com.tbig.playerprotrial,PlayerPro Music Player (Free),4.6,33358709,Music & Audio
com.p74.player,Zay.Музыка: download and listen to music offline,4.5,32571633,Music & Audio
com.google.android.youtube.tvmusic,YouTube Music,1.4,31545821,Music & Audio
com.skysoft.kkbox.android,KKBOX - Music and podcasts; anytime, anywhere!,4.2,30626746,Music & Audio
sound.effect.equalizer.musicplayer,Music Player - MP3 Player & 10 Bands Equalizer,4.5,30577941,Music & Audio
com.eliferun.music,Music Player for Android,4.6,29775632,Music & Audio
com.djit.equalizerplusforandroidfree,Equalizer music player booster,4.6,29642414,Music & Audio
mp3.music.download.player.music.search,Mp3 Player,4.6,29468091,Music & Audio
com.supereffect.voicechanger,Voice Changer - Audio Effects,4.3,29420134,Music & Audio
com.jazarimusic.voloco,Voloco: Vocal Recording Studio; Beats, & Effects,4.4,27803396,Music & Audio
com.magix.android.mmjam,Music Maker JAM - Song & Beatmaker app,4.5,27745293,Music & Audio
com.tohsoft.music.mp3.mp3player,Music player,4.6,26692342,Music & Audio
com.soundcorset.client.android,Tuner & Metronome,4.5,26341122,Music & Audio
audio.sound.effect.bass.virtrualizer.equalizer,Bass Booster & Equalizer,4.6,26200600,Music & Audio
com.gismart.drum.pads.machine,Drum Pads - Beat Maker Go,4.1,26103182,Music & Audio
com.kakao.music,KakaoMusic,3.9,25728321,Music & Audio
com.jrtstudio.AnotherMusicPlayer,Rocket Music Player,4.5,25518717,Music & Audio
com.bork.dsp.datuna,Guitar Tuner; Bass, Violin, Banjo & more | DaTuner,4.4,25407738,Music & Audio
com.bandlab.bandlab,BandLab – Music Recording Studio & Social Network,4.5,24603967,Music & Audio
br.com.rodrigokolb.tabla,TABLA: India's Mystical Drums,4.1,24229486,Music & Audio
music.bassbooster.equalizer,Equalizer & Bass Booster,4.5,23385720,Music & Audio
com.bestringtonesapps.bestringtonesfree,Best Free Ringtones,4.3,22929318,Music & Audio
media.mp3.audio.musicplayer,Music Player for Android-Audio,4.5,22560986,Music & Audio
com.turkcell.gncplay,fizy – Music & Video,4.2,22506706,Music & Audio
com.maxxt.pcradio,Radio Online - PCRADIO,4.7,22434307,Music & Audio
media.mp3player.musicplayer,Music Player - Mp3 Player,4.5,22340147,Music & Audio
com.enlightment.voicerecorder,Voice Recorder,4.7,22059448,Music & Audio
com.mmm.trebelmusic,TREBEL - Free Music Downloads & Offline Play,4.7,21860308,Music & Audio
com.studiosol.afinadorlite,Cifra Club Tuner,4.7,21847601,Music & Audio
com.musicops.vanillamusicdownload,Download Music Mp3,4.2,21820306,Music & Audio
com.recorder.music.mp3.musicplayer,Music player - mp3 player,4.7,21659668,Music & Audio
com.sky.free.music,Free Music - Music Player; MP3 Player,4,21488295,Music & Audio
com.rhapsody,Napster Music,4.4,21227307,Music & Audio
com.aspiro.tidal,TIDAL Music - Hifi Songs; Playlists, & Videos,4.1,21048840,Music & Audio
com.jb.go.musicplayer.mp3player,GO Music Player Plus - Free Music; Radio, MP3,3.9,20875223,Music & Audio
com.famousbluemedia.piano,Piano - Play & Learn Free songs.,4.3,20823907,Music & Audio
com.app.studio.voicerecord,Voice recorder,4.7,20452868,Music & Audio
com.amapps.media.music,Music player,4.8,20442921,Music & Audio
equalizer.bassbooster,Music Equalizer - Bass Booster & Volume Booster,4.6,20319304,Music & Audio
com.sirius,SiriusXM: Music; Podcasts, Radio, News & More,4.5,20245296,Music & Audio
media.music.mp3player.musicplayer,Music player,4.7,19770722,Music & Audio
com.paullipnyagov.drumpads24,Drum Pads 24 - Music Maker,4.4,19730136,Music & Audio
com.zvooq.openplay,SberZvuk: more than just music,4.4,19241984,Music & Audio
com.cynomusic.mp3downloader,Mp3 Music Downloader - Unlimited Music Player,3.2,19156310,Music & Audio
com.studiosol.player.letras,Letras - Song lyrics and translations,4.8,19054955,Music & Audio
com.storybeat,Storybeat,4.4,18920641,Music & Audio
com.lmr.lfm,LMR - Loyalty Free Music,4.6,18787046,Music & Audio
vr.audio.voicerecorder,voice recorder,4.7,18557595,Music & Audio
com.mwm.guitar,Guitar - play music games; pro tabs and chords!,3.4,18433286,Music & Audio
com.spotify.lite,Spotify Lite,4.4,18395498,Music & Audio
com.music.sound.speaker.volume.booster.equalizer,Extra Volume Booster - loud sound speaker,4.7,18302896,Music & Audio
com.paullipnyagov.electrodrumpads24,Electro Drum Pads 24 - Music & Beat Maker,4.3,18247489,Music & Audio
com.spotify.tv.android,Spotify - Music and Podcasts,2.3,18088558,Music & Audio
com.algoriddim.djay_free,djay - DJ App & Mixer,3.8,18017537,Music & Audio
music.search.player.mp3player.cut.music,Music Player,4.6,17722948,Music & Audio
com.freedomlabs.free.music.archive,Free Music Downloader – MP3 Music Download!,3.1,17563782,Music & Audio
com.hypermedia.songflip,SongFlip - Free Music Streaming & Player,4.7,17516465,Music & Audio
com.andymstone.metronome,Metronome Beats,4.6,17376587,Music & Audio
com.th.ringtone.maker,MP3 Cutter and Ringtone Maker,4.7,17274485,Music & Audio
com.anbu.ringtonemaker,MP3 Cutter and Ringtone Maker,4,17271829,Music & Audio
com.mjc.mediaplayer,Music Player,4.4,17071662,Music & Audio
br.com.rodrigokolb.funkbrasil,FUNK BRASIL: Become a DJ of Drum Pads,4.3,17069966,Music & Audio
com.google.android.apps.wearables.maestro.companion,Google Pixel Buds,3.1,16944242,Music & Audio
com.desaxedstudios.bassbooster,Bass Booster - Music Equalizer,4.3,16840449,Music & Audio
tool.music.ringtonemaker,Ringtone Maker - Mp3 Editor & Music Cutter,4.6,16643425,Music & Audio
com.ushareit.listenit,Music Player - just LISTENit; Local, Without Wifi,4.5,16641370,Music & Audio
com.doubleTwist.androidPlayer,doubleTwist Music & Podcast Player with Sync,4.4,16572424,Music & Audio
com.smartandroidapps.equalizer,Equalizer,3.9,16522066,Music & Audio
com.uv.musicplayer,Music Player 2021,4.3,16521049,Music & Audio
com.mwm.drum,Drums: real drum set music games to play and learn,3.7,16306440,Music & Audio
de.radio.android,radio.net - Tune in to more than 30;000 stations,4.5,16295153,Music & Audio
fm.castbox.audiobook.radio.podcast,Podcast Player & Podcast App - Castbox,4.7,16144617,Music & Audio
com.mixvibes.crossdjfree,Cross DJ Free - dj mixer app,4.1,16129060,Music & Audio
com.jetappfactory.jetaudio,jetAudio HD Music Player,4.3,16032050,Music & Audio
com.radio.pocketfm,Pocket FM - Audiobooks; Stories & Podcasts,4.4,15911473,Music & Audio
freemusic.player,Download music; Free Music Player, MP3 Downloader,4,15795369,Music & Audio
com.threeheads.tuny.music.player.youtube,Free Music & Videos - Music Player,4.3,15348233,Music & Audio
com.jrinnovation.proguitartuner,Pro Guitar Tuner,4.5,15270459,Music & Audio
com.rhapsody.napster,Napster,4.2,15193961,Music & Audio
com.ultimateguitar.tabs,Ultimate Guitar: Chords & Tabs,4.5,15065226,Music & Audio
com.ikmultimediaus.android.ezvoice,EZ Voice,3.7,15030586,Music & Audio
com.yy.musicfm.global,Free Music - Listen Songs & Music (download free),4.3,14892800,Music & Audio
