appID, appName,rating,max_installs,category
com.oubapps.po.ch,شرطة الأطفال - مكالمة وهمية,4.1,36058501,Parenting
com.hp.pregnancy.lite,Pregnancy + | tracker app; week by week in 3D,4.8,28050322,Parenting
org.findmykids.app,Find My Kids: Child Cell Phone Location Tracker,4.5,27803570,Parenting
com.babycenter.pregnancytracker,Pregnancy Tracker + Countdown to Baby Due Date,4.8,25907607,Parenting
com.becloser,Be Closer - Share your location,4.2,21269898,Parenting
com.healofy,India's #1 Pregnancy;Parenting & Baby Products App,4.4,8424428,Parenting
com.dokdoapps.mybabypiano,My baby Piano,4.2,6603186,Parenting
com.zoemob.gpstracking,Zoemob Family Locator,4.1,6371896,Parenting
com.realdream.kidspolice_sp,Policía de niños - para padres,4.7,6243191,Parenting
com.tickledmedia.ParentTown,theAsianparent: Track Pregnancy & Count Baby Kicks,4.8,5541423,Parenting
family.tracker.my,My Family - Family Locator,4.2,5501402,Parenting
us.mitene,FamilyAlbum - Easy Photo & Video Sharing,4.7,5450337,Parenting
com.wte.view,Pregnancy Tracker & Baby App,4.8,5406931,Parenting
com.kinedu.appkinedu,Kinedu: Developmental Activities and Milestones,4.6,4760814,Parenting
net.cleverbit.VegeFruits,Fruits and Vegetables for Kids,4.3,4498819,Parenting
com.sunny.paint.learn.animals,Paint and Learn Animals,4,4236588,Parenting
com.famspotline,Track Family GPS Location - Spotline,4.2,4114211,Parenting
com.urbandroid.babysleep,Baby Sleep 🍼 White noise lullabies for newborns,4.6,4021154,Parenting
com.cook.cookinggame,Cooking Games - Food Fever & Restaurant Craze,4,3955338,Parenting
com.wachanga.pregnancy,Pregnancy Tracker Week by Week,4.7,3515585,Parenting
com.screentime.rc,Parental Control - Screen Time & Location Tracker,3.6,3463306,Parenting
com.dokdoapps.mybabyphone,My baby Phone,3.8,3441038,Parenting
maybebaby.getpregnant.getbaby.flo,Ovulation Calendar & Fertility,4.8,3262633,Parenting
com.babysparks.babysparks,BabySparks - Development Activities and Milestones,4.1,3122404,Parenting
com.dt2020.funnyvlog,Toys Videos Funny Shows,3.9,3073106,Parenting
com.hp.babyapp,Baby + – your baby tracker,4.5,2952199,Parenting
com.kolesnik.pregnancy,I'm Pregnant - Pregnancy Week By Week,4.7,2738477,Parenting
baby.com.naniteremorni,Nani Teri Morni  - Offline Videos,4.1,2698440,Parenting
com.jamesots.android.contractiontimer,Contraction Timer,4.6,2593072,Parenting
ru.fedr.pregnancy,Pregnancy Calendar,4.8,2588935,Parenting
com.kawkaw.pornblocker.safebrowser.up,Porn Blocker : Safe Search & Web Filter,3.8,2495829,Parenting
com.realdream.kidspolice,Kids police - designed for parents,4.4,2473404,Parenting
com.flying.car.robot.games,Flying Car Robot Transformation: Modern Car Games,3.4,2432265,Parenting
com.lemon.baby.piano.kids,Little Piano,4.2,2409719,Parenting
com.wondershare.famisafe,Parental Control App & Location Tracker - FamiSafe,4.6,2396232,Parenting
com.gravid.gravid,Pregnancy & Baby Tracker Free: Preglife,4.7,2309234,Parenting
com.amanefactory.totsukitoka,280days: Pregnancy Diary,4.7,2307837,Parenting
com.kaspersky.safekids,Parental Control & Kids GPS: Kaspersky SafeKids,2.8,2224360,Parenting
