appID, appName,rating,max_installs,category
com.sec.android.app.launcher,Samsung One UI Home,4,2158959897,Personalization
com.huawei.android.thememanager,Themes,3.7,645246525,Personalization
com.google.android.apps.wallpaper,Wallpapers,4.1,436643263,Personalization
net.zedge.android,ZEDGE™ Wallpapers & Ringtones,4.4,426891623,Personalization
com.motorola.actions,Moto Actions,4.2,333421008,Personalization
com.gau.go.launcherex,GO Launcher - 3D parallax Themes & HD Wallpapers,4.5,300860785,Personalization
com.motorola.moto,Moto,4.2,285479844,Personalization
com.apusapps.launcher,APUS Launcher: Theme Launcher,4.5,273282905,Personalization
com.whatsapp.wallpaper,WhatsApp Wallpaper,4.1,255988006,Personalization
com.lbe.parallel.intl,Parallel Space - Multiple accounts & Two face,4.5,206946682,Personalization
com.yandex.browser,Yandex Browser with Protect,4.4,151196658,Personalization
com.transsion.hilauncher,HiOS Launcher(2021)-  Fast; Smooth, Stabilize,4.6,136074133,Personalization
com.jb.gokeyboard,GO Keyboard Lite - Emoji keyboard; Free Theme, GIF,4.4,132369616,Personalization
com.transsion.XOSLauncher,XOS Launcher(2020)- Customized;Cool,Stylish,4.7,121339310,Personalization
com.ogqcorp.bgh,Backgrounds HD (Wallpapers),4.5,119768469,Personalization
home.solo.launcher.free,Solo Launcher-Clean;Smooth,DIY,4.3,110027280,Personalization
com.herman.ringtone,Ringtone Maker - create free ringtones from music,4.6,93244046,Personalization
com.wallpaperscraft.wallpaper,Wallcraft – Wallpapers HD; 4K Backgrounds,4,88987855,Personalization
com.simejikeyboard,Facemoji Emoji Keyboard:Emoji Keyboard;Theme,Font,4.6,85326938,Personalization
com.teslacoilsw.launcher,Nova Launcher,4.5,81421684,Personalization
com.asus.easylauncher,ASUS Easy Mode (ZenFone & Pad),4.3,78389843,Personalization
com.celltick.lockscreen,Start,3,71485788,Personalization
com.asus.themeapp,ASUS Themes – Stylish Themes,4.2,68024916,Personalization
com.sonymobile.xperiatransfermobile,(Old version) Xperia Transfer Mobile,4.5,60658977,Personalization
fishnoodle.koipond_free,Koi Free Live Wallpaper,4.4,57943370,Personalization
com.xinmei365.font,HiFont - Cool Fonts Text Free + Galaxy FlipFont,3.6,55301725,Personalization
com.fontskeyboard.fonts,Fonts - Font Keyboard for Emoji; Symbols & Kaomoji,4.6,50786594,Personalization
com.mi.android.globallauncher,POCO Launcher 2.0 - Customize;  Fresh & Clean,4.6,48926132,Personalization
com.microsoft.launcher,Microsoft Launcher,4.7,45960512,Personalization
com.luutinhit.ioslauncher,Launcher iOS 15,4.8,42715652,Personalization
com.redraw.keyboard,New 2021 Keyboard,4.4,41955885,Personalization
vault.gallery.lock,Photo Lock App - Hide Pictures & Videos,4.4,40169837,Personalization
net.oneplus.launcher,OnePlus Launcher,4.1,38637455,Personalization
com.androidwasabi.livewallpaper.dandelion,Dandelion Live Wallpaper,4.3,38577586,Personalization
com.anddoes.launcher,Apex Launcher - Customize;Secure,and Efficient,4.3,37929745,Personalization
com.cma.launcher.lite,C launcher:DIY themes;hide apps,wallpapers,2021,4.5,37294459,Personalization
ginlemon.flowerfree,Smart Launcher 5,4.4,37112127,Personalization
com.dream_studio.animalringtones,Animals: Ringtones,4.7,36793815,Personalization
helectronsoft.com.live.wallpaper.pixel4d,Pixel 4D Live Wallpapers 4K - Backgrounds 3D/HD,4.4,36294001,Personalization
com.edgeround.lightingcolors.rgb,Edge Lighting Colors - Round Colors Galaxy,4.6,35353765,Personalization
com.monotype.android.font.simprosys.stylishfonts,Stylish Fonts & Keyboard,3.9,35299816,Personalization
com.kapp.ifont,iFont(Expert of Fonts),3.3,35146652,Personalization
jp.co.a_tm.android.launcher,Wallpaper Theme +HOME Launcher,4.1,34239037,Personalization
com.ram.transparentlivewallpaper,Transparent Live Wallpaper,4.5,32142749,Personalization
com.WaterfallLiveWallpaperHDHQ,Waterfall Live Wallpaper,4.2,30835774,Personalization
com.monotype.android.font.free.fifty6,Fonts for FlipFont 50 #6,3.9,30493591,Personalization
fishnoodle.aquarium_free,Aquarium Free Live Wallpaper,4.1,30222306,Personalization
com.cutestudio.neonledkeyboard,Neon LED Keyboard - RGB Lighting Colors,4.7,30103933,Personalization
com.okappz.girlywallpapers,Girly HD Wallpapers & Backgrounds,4.5,29620677,Personalization
com.tuanfadbg.controlcenterios,Control Center IOS 14 - Screen Recorder,4.6,28155080,Personalization
com.gau.go.launcherex.theme.newlauncher2017,New Launcher 2021,4.3,27522967,Personalization
com.thalia.diamond.zipper.lock.screen,Diamond Zipper Lock Screen,3.8,25856578,Personalization
com.ksmobile.launcher.theme.neonlife,Wallpapers 2021 & Themes for Android ™,4.2,25565374,Personalization
com.jb.gokeyboard.theme.timssfasttypingkeyboard,Fast Typing Keyboard,4.4,24824499,Personalization
com.ist.lwp.koipond,Water Garden Live Wallpaper,4.5,24297762,Personalization
pl.infinzmedia.electricscreenfree,Electric Screen Prank Live Wallpaper,3.8,23608191,Personalization
com.wave.keyboard.theme.diamondanimatedkeyboard,Diamond Live Wallpaper & Animated Keyboard,4.4,23539802,Personalization
com.catple.wallpapers,Best Wallpapers 4K - WallPick,4.6,23295648,Personalization
systems.maju.darkmode,Dark Mode,3.8,23134490,Personalization
com.app2game.romantic.photo.frames,Romantic Love Photo Frames,4.7,23063137,Personalization
com.wave.keyboard,Wave Keyboard Background - Animations; Emojis, GIF,4.4,22948896,Personalization
wallpaper.transparent,Transparent Screen & Live Wallpaper,4.5,22930823,Personalization
com.parallax3d.live.wallpapers,3D Live wallpaper - 4K&HD; 2021 best 3D wallpaper,4.1,22736880,Personalization
com.brainpub.phonedecor,Deco Keyboard - Phone Deco; wallpapers, theme,4.2,22125522,Personalization
com.mundoapp.corazoneswhatsapp,💕😍WAStickerApps animated stickers for Whatsapp,4.3,22057468,Personalization
com.incredibleapp.wallpapershd,Wallpapers HD,4.5,21315560,Personalization
com.rare.wallpapers,Wallpapers Full HD - Backgrounds 4K,4.5,21201029,Personalization
system.android.booster,Booster for Android,4,21078367,Personalization
com.flashkeyboard.leds,LED Keyboard - RGB Lighting Keyboard; Emojis, Font,4.7,20679478,Personalization
com.in.hdwallpapersapp,4K Wallpapers - HD & QHD Backgrounds,4.4,20564364,Personalization
org.adw.launcher,ADW Launcher 2,4.2,20007560,Personalization
com.monotype.android.font.free.fifty.written,Fonts for FlipFont 50 Written,3.7,19992902,Personalization
qt.door,Door Lock Screen,4.1,19553742,Personalization
com.stickify.stickermaker,Sticker Maker,4.5,19311894,Personalization
