appID, appName,rating,max_installs,category
com.miniclip.eightballpool,8 Ball Pool,4.4,747308036,Sports
com.billiards.city.pool.nation.club,Pooking - Billiards City,4.4,280522436,Sports
com.ea.gp.fifamobile,FIFA Soccer,4.2,259164378,Sports
com.firsttouchgames.story,Score! Hero,4.2,238877133,Sports
com.miniclip.carrom,Carrom Pool: Disc Game,4.2,228781524,Sports
com.firsttouchgames.dls3,Dream League Soccer,4.5,218519220,Sports
com.forthblue.pool,Pool Billiards Pro,4.3,193858271,Sports
com.mgc.runnergame,Run Race 3D,4.1,190283541,Sports
com.touchtao.soccerkinggoogle,World Soccer League,4.3,185869844,Sports
com.threed.bowling,3D Bowling,4.4,178243393,Sports
com.miniclip.footballstrike,Football Strike - Multiplayer Soccer,4.4,157149600,Sports
com.cricbuzz.android,Cricbuzz - Live Cricket Scores & News,4.3,145028275,Sports
com.junerking.archery,Archery Master 3D,4.2,125445533,Sports
com.gotv.nflgamecenter.us.lite,NFL,4.3,103497551,Sports
eu.nordeus.topeleven.android,Top Eleven 2021: Be a Soccer Manager,4.6,100380948,Sports
jp.konami.pesam,eFootball PES 2021,4.4,100156361,Sports
air.WR3DFree,Wrestling Revolution 3D,4.1,99843182,Sports
com.masomo.headball2,Head Ball 2 - Online Soccer Game,4,98088317,Sports
com.ea.gp.nbamobile,NBA LIVE Mobile Basketball,4.2,94930519,Sports
com.firsttouchgames.dls7,Dream League Soccer 2021,4.3,86986700,Sports
com.miniclip.soccerstars,Soccer Stars,4.3,86312400,Sports
com.mobirix.fishinghook,Fishing Hook,4.4,82910182,Sports
com.miniclip.basketballstars,Basketball Stars,4.4,82899612,Sports
com.motionvolt.flipdiving,Flip Diving,4.4,81822358,Sports
com.cg.football,Ultimate Soccer - Football,3.9,80333844,Sports
com.cg.tennis,3D Tennis,4.2,78555213,Sports
com.ea.game.easportsufc_row,EA SPORTS UFC®,4.4,75491141,Sports
com.gameloft.android.ANMP.GloftR7HM,Real Football,3.8,75423873,Sports
com.nextwave.wcc2,World Cricket Championship 2 - WCC2,4.3,69412059,Sports
com.yx.boxinghero,Punch Boxing 3D,4.3,68862291,Sports
com.allenmm.archery,Shooting Archery,4.5,67881827,Sports
com.nextwave.wcc_lt,World Cricket Championship  Lt,4.1,63451931,Sports
com.firsttouchgames.smp,Score! Match - PvP Soccer,4.2,60292049,Sports
com.bello.shootingworld,Shooting World - Gun Fire,4.6,59554495,Sports
com.espn.score_center,ESPN,3.9,58957102,Sports
eu.inlogic.footballcup2018.gplay,Soccer Cup 2021: Free Football Games,4.1,58886457,Sports
com.turner.tooncup,Toon Cup 2020 - Cartoon Network's Football Game,4.1,58870544,Sports
games.onebutton.golfbattle,Golf Battle,4.2,57703843,Sports
com.dnddream.headsoccer.android,Head Soccer,4.2,57702198,Sports
badminton.king.sportsgame.smash,Badminton League,4,57052958,Sports
com.soccer.score.star,Soccer Super Star,4.4,55606036,Sports
br.pipacombate.maiworm,Kite Flying - Layang Layang,4.2,53807961,Sports
com.xs.pooltd,3D Pool Ball,4.3,50182339,Sports
com.generagames.soccerstarleaguesfootball,Soccer Star 2021 Top Leagues: Play the SOCCER game,4.3,50173371,Sports
com.tfgco.games.sports.free.tennis.clash,Tennis Clash: 1v1 Free Online Sports Game,4.3,50134682,Sports
com.game.basketballshoot,Basketball Shoot,4.2,49768272,Sports
com.ea.game.maddenmobile15_row,zzSUNSET Last Season MM,4.1,49653201,Sports
com.progimax.airhorn.free,Stadium Horn (Simulator),3.9,48686818,Sports
com.clapfootgames.vtt3dfree,Virtual Table Tennis 3D,4.1,48244807,Sports
com.interbolt.impossible.formula.ramp.car.stunts,Formula Car GT Racing Stunts- Impossible Tracks 3D,3.8,47988958,Sports
com.parkourrace.game,Parkour Race - Freerun Game,4.1,47922576,Sports
se.illusionlabs.bmx,Touchgrind BMX,4,47469911,Sports
de.motain.iliga,OneFootball - Soccer News; Scores & Stats,4.6,47436374,Sports
com.bambo.shootgoal,Shoot Goal - Football Stars Soccer Games 2021,4.1,46869569,Sports
com.virgil.basketball,Basketball Mania,4.3,46180001,Sports
com.gamebasics.osm,Online Soccer Manager (OSM) - 20/21,4.4,45771969,Sports
com.pnixgames.bowlingking,Bowling King,4.6,45382194,Sports
com.livescore,LiveScore: Live Sports Scores,4.3,44754805,Sports
com.mobirix.throwball,Hit & Knock down,4.3,43958497,Sports
com.mobirix.airhockey,Air Hockey Challenge,4.1,43024511,Sports
com.motionvolt.flipbounce,Flip Master,4.4,40733114,Sports
com.scores365,365Scores: Live Scores & Sports News,3.8,40601149,Sports
com.clockey.skimaster,Snowboard Master 3D,4.2,40102612,Sports
com.billiards.shooting.ball.pool,Shooting Ball,4.4,39929709,Sports
com.touchtao.ws2014googleelite2,Winner Soccer Evo Elite,4.4,39382711,Sports
com.generamobile.headsoccerlaliga,Head Football LaLiga 2021 - Skills Soccer Games,4.2,37538044,Sports
com.com2us.acefishing.normal.freefull.google.global.android.common,Ace Fishing: Wild Catch,4.4,37504881,Sports
com.icarus.carball,Rocket Car Ball,4.1,35761528,Sports
com.wordsmobile.soccerkicks,Soccer Kicks (Football),4,35451708,Sports
com.resultadosfutbol.mobile,BeSoccer - Soccer Live Score,4.5,35272104,Sports
com.djinnworks.StickmanSoccer2014,Stickman Soccer 2014,4.4,34671005,Sports
com.nautilus.RealCricket3D,Real Cricket™ 20,4.2,34171683,Sports
com.playdemic.golf.android,Golf Clash,4.3,33999988,Sports
air.com.noxgames.PuppetSoccer2014,⚽Puppet Soccer 2014 - Big Head Football 🏆,4,33689655,Sports
com.doubletapsoftware.basketballbattle,Basketball Battle,4.4,33517077,Sports
com.mobirix.shotingking,Shooting King,4.3,33061001,Sports
com.wordsmobile.nfl,Fanatical Football,4.1,32596866,Sports
com.allfootball.news,All Football - Latest News & Live Scores,4.2,32272238,Sports
org.cocos2dx.NautilusCricket2014,Real Cricket™ 17,4.2,30217668,Sports
com.ea.gp.fifaultimate,EA SPORTS™ FIFA 21 Companion,3.8,29648520,Sports
com.fifa.fifaapp.android,FIFA - Tournaments; Soccer News & Live Scores,4.4,29595913,Sports
br.com.mobits.cartolafc,Cartola FC,4.4,29178850,Sports
com.giraffegames.realvolleyball,Volleyball Champions 3D - Online Sports Game,4.1,29124666,Sports
com.wanxing.basketball,Fanatical Basketball,4.2,29037612,Sports
com.dazn,DAZN: Live Sports Streaming,3.7,28679281,Sports
com.generamobile.soccerlegend,Soccer Star 2020 World Football: World Star Cup,4.1,28634913,Sports
com.vividgames.realboxing,Real Boxing – Fighting Game,4.2,28622166,Sports
com.MobileSportsTime.MiniGolfEldoradoGolfCourse,Mini Golf 3D City Stars Arcade - Multiplayer Rival,4.3,28161292,Sports
com.uefa.ucl,Champions League football: live scores & news,4.6,28059424,Sports
com.sofascore.results,SofaScore - Euro soccer scores & schedule 2021,4.7,27853029,Sports
se.illusionlabs.skate2,Touchgrind Skate 2,3.9,27159993,Sports
com.appon.worldofcricket,World of Cricket : World Cup 2019,3.9,27086821,Sports
com.droidhen.basketball,Basketball Shot,4,26728624,Sports
com.promedia.fishingparadise,Fishing Paradise 3D Free+,4.2,26465778,Sports
com.newstargames.newstarsoccer,New Star Soccer,4.6,26377825,Sports
com.tapped.flipdunk,Flip Dunk,4.3,26334082,Sports
in.cricketexchange.app.cricketexchange,Cricket Exchange - Live Score & Analysis,4.4,25923372,Sports
com.rasugames.mk,Mobile Kick,4,25307751,Sports
com.rasugames.msl,Mobile Soccer League,4.2,24845885,Sports
com.gamegou.football,Top Football Manager 2021,4.3,24799243,Sports
com.pulselive.bcci.android,IPL 2021,4.2,24638422,Sports
com.djinnworks.StickmanSoccer,Stickman Soccer - Classic,4.4,24450170,Sports
com.dodreams.driveaheadsports,Drive Ahead! Sports,4.3,24055876,Sports
com.gxbwfw.futsalgame,Futsal Football 2,2.7,23868948,Sports
air.WRCareer,Wrestling Revolution,4.1,23782179,Sports
com.miniclip.topskater,Flip Skater,4.3,23726763,Sports
com.gamegou.PerfectKick.google,Mobile Soccer,4.4,23477154,Sports
com.ratrodstudio.mikevskatepartylite,Mike V: Skateboard Party,4.3,23367245,Sports
com.pnixgames.minigolfking,Mini Golf King - Multiplayer Game,4.3,23115423,Sports
com.ftt.boxingstar.gl.aos,Boxing Star,4.4,22832126,Sports
com.nautilus.RealCricket3DLite,Real Cricket™ GO,3.9,22820656,Sports
com.Avalon.amazingrun,Amazing Run 3D,4,22747118,Sports
com.zapak.worldcup.t20.cricket,T20 Cricket Champions 3D,4,22637952,Sports
com.mastercomlimited.penalty,World Cup Penalty Shootout,4,22475235,Sports
com.fatbatstudio.archery,Archery Tournament,4.1,22147765,Sports
com.crazylabs.flip.jump.stack,Flip Jump Stack!,4.1,22025623,Sports
com.dream11sportsguru,Cricket Live Stream; Scores & Predictions: FanCode,4.1,21886509,Sports
com.kokteyl.mackolik,Mackolik Canlı Sonuçlar,3.8,21592787,Sports
com.giraffegames.tabletennis,Table Tennis 3D,4.2,21431623,Sports
com.concretesoftware.pbachallenge_androidmarket,PBA® Bowling Challenge,4.5,21295403,Sports
com.madelephantstudios.football2014,World Soccer Games 2014 Cup Fun Football Game 2020,3.6,21164441,Sports
unity.enjen.bmx,BMX Freestyle Extreme 3D,4,21090677,Sports
uk.co.yakuto.TableTennisTouch,Table Tennis Touch,4,20920966,Sports
com.app.cricketapp,Cricket Line Guru : Fast Live Line,4.5,20896199,Sports
com.touchtao.ws2014google,Winner Soccer Evolution,4.2,20783241,Sports
com.ninemgames.tennis.google,Ultimate Tennis: 3D online sports game,4.2,20494502,Sports
jp.konami.pesclubmanager,PES CLUB MANAGER,4.1,20392976,Sports
com.nextwave.battleofchepauk2,CSK Battle Of Chepauk 2,4.4,19934143,Sports
com.nexelon.realmonsterfishing2018,Monster Fishing 2021,4.2,19920637,Sports
es.lfp.gi.main,La Liga Official App - Live Soccer Scores & Stats,4.5,19832660,Sports
com.mobilefootie.wc2010,FotMob - Soccer Live Scores,4.7,19445989,Sports
com.yoozoogames.carromfriendsboardgames,Carrom Friends : Carrom Board Game,4.3,19126756,Sports
com.sportgames.shooting.archery.free,Archery,4,18972816,Sports
us.kr.baseballnine,BASEBALL 9,4.4,18902802,Sports
com.djinnworks.ss16,Stickman Soccer 2016,4.3,18825893,Sports
com.jetplay.sachinsagacc,Sachin Saga Cricket Champions,4,18780075,Sports
com.djinnworks.StickmanBasketball,Stickman Basketball,4.4,18779552,Sports
com.beinsports.andcontent,beIN SPORTS,4,18401603,Sports
com.iwaredesigns.prosnooker2012,Pro Snooker 2021,4.3,18267917,Sports
com.bambo.soccerbeach,Shoot Goal - Beach Soccer Game,4.1,18162440,Sports
com.SPSoftwareProductions.TheRealJuggle,The Real Juggle - Pro Freestyle Soccer,3.7,17768802,Sports
com.supersport.android.phone,SuperSport,3.8,17641670,Sports
com.reludo.shootingrangechallenge,Range Master: Sniper Academy,4.1,17619363,Sports
com.nbaimd.gametime.nba2011,NBA: Live Games & Scores,3.9,17206528,Sports
se.illusionlabs.touchgrindbmx2,Touchgrind BMX 2,4.4,17040860,Sports
com.badminton.free,Badminton Legend,4.5,17022625,Sports
com.bottleShootingGames,bottle shoot game,3.6,16800075,Sports
com.july.cricinfo,ESPNCricinfo - Live Cricket Scores; News & Videos,3.9,16790840,Sports
com.giraffegames.bocce,Bocce 3D - Online Sports Game,3.9,16585635,Sports
com.final_kick.best_penalty_shootout.soccer_football_game_free,Final kick 2020 Best Online football penalty game,4.3,16533716,Sports
com.tetrox.bowl,Bowling Crew — 3D bowling game,4.5,16527810,Sports
com.miniclip.minifootball,Mini Football - Mobile Soccer,4.2,16430796,Sports
com.com2us.golfstarworldtour.normal.freefull.google.global.android.common,Golf Star™,4.1,16310044,Sports
com.clapfootgames.tennis,Play Tennis,4.3,16292693,Sports
com.cricbuzz.android.vernacular,Cricbuzz - In Indian Languages,4,16282143,Sports
com.ri.rocketleague,⚽ Rocketball: Championship Cup,2.6,16114685,Sports
com.pl.premierleague,Premier League - Official App,4.5,16045457,Sports
com.flynetstudios.fx3,Fists For Fighting (Fx3),4.4,16041948,Sports
com.nexelon.fishinglife,Fishing Life,4.3,16029865,Sports
com.mobirix.bowling,World Bowling Championship,4.2,15890507,Sports
com.galasports.football,Football Master,3.8,15857495,Sports
com.iwaredesigns.propool2012,Pro Pool 2021,4.3,15828119,Sports
br.pipacombate3d.maiworm,Pipa Combate 3D - Kite Flying,4.3,15609382,Sports
com.dm.ssc.wrestling,Real Wrestling 3D,3.9,15562610,Sports
com.wgt.android.golf,WGT Golf,4.1,15468942,Sports
com.mobirix.archerybigm,Archery Big Match,4.4,15306228,Sports
com.sensedevil.VTT,Virtual Table Tennis,4,15259248,Sports
com.ruby.gymflip,Gym Flip,4,15199259,Sports
com.catdaddy.cat22,WWE SuperCard - Battle Cards,4.3,15158533,Sports
com.kb.Carrom3D,Pool Break 3D Billiard Snooker Carrom,4.3,15066057,Sports
com.mobirix.slingshot,Slingshot Championship,4.3,15062262,Sports
com.digiturk.ligtv,beIN SPORTS TR,2.5,14983194,Sports
com.steelcloudstudio.stunt.bike.racing.game.tricks.master,Stunt Bike Racing Game Tricks Master  🏁,3.9,14902040,Sports
com.rcflightsim.cvheli2,Absolute RC Heli Sim,4.1,14707893,Sports
com.sports.real.golf.rival.online,Golf Rival,4.3,14595767,Sports
com.handmark.sportcaster,CBS Sports App - Scores; News, Stats & Watch Live,3.8,14061734,Sports
