appID, appName,rating,max_installs,category
com.google.android.gms,Google Play services,4.2,12057627016,Tools
com.google.android.googlequicksearchbox,Google,4.2,9154248491,Tools
com.google.android.tts,Google Text-to-Speech,4.1,9034404884,Tools
com.google.android.marvin.talkback,Android Accessibility Suite,4.2,7408134567,Tools
com.google.android.webview,Android System WebView,4,4764329349,Tools
com.google.android.inputmethod.latin,Gboard - the Google Keyboard,4.5,3897822063,Tools
com.sec.android.app.myfiles,Samsung My Files,4.3,2063336389,Tools
com.samsung.android.mobileservice,Samsung Experience Service,4.2,1682763021,Tools
com.samsung.android.lool,Device Care,4.3,1681485812,Tools
com.lenovo.anyshare.gps,SHAREit - Transfer & Share,4.2,1666016612,Tools
com.sec.android.app.popupcalculator,Samsung Calculator,4.5,1614135190,Tools
com.dsi.ant.plugins.antplus,ANT+ Plugins Service,4,1514437056,Tools
com.sec.android.app.voicenote,Samsung Voice Recorder,4.3,1483303632,Tools
com.google.ar.core,Google Play Services for AR,4.1,1459169211,Tools
com.google.android.apps.nbu.files,Files by Google,4.6,1163166935,Tools
com.google.android.deskclock,Clock,4.2,1045577416,Tools
com.google.android.apps.translate,Google Translate,4.5,1023240815,Tools
com.google.android.calculator,Calculator,4.4,1005908944,Tools
com.xiaomi.midrop,ShareMe  - #1 file sharing & data transfer app,4.5,868900534,Tools
com.mi.android.globalFileexplorer,File Manager : free and easily,4.6,809334309,Tools
com.miui.calculator,Calculator,4.4,783335747,Tools
com.samsung.android.voc,Samsung Members,4.4,776611754,Tools
com.google.ar.lens,Google Lens,4.5,749482169,Tools
com.google.android.dialer,Phone by Google - Caller ID & Spam Protection,4.5,746756536,Tools
com.samsung.android.app.aodservice,[Samsung] Always On Display,4.3,738935047,Tools
com.huawei.KoBackup,Huawei Backup,4.2,731178940,Tools
com.huawei.hwid,Huawei Mobile Services,4.2,693405753,Tools
com.huawei.phoneservice,HiCare,4.1,643467345,Tools
com.huawei.hwdetectrepair,Smart diagnosis,4.1,586074223,Tools
com.google.android.apps.searchlite,Google Go: A lighter; faster way to search,4.2,573503011,Tools
com.samsung.android.app.watchmanager,Galaxy Wearable (Samsung Gear),4.5,525940382,Tools
com.mi.android.globalminusscreen,App Vault,4.5,522242763,Tools
com.google.android.apps.assistant,Google Assistant Go,4.2,517982434,Tools
com.hicloud.android.clone,Phone Clone,4,514130837,Tools
com.motorola.genie,Device Help (previously Moto Help),4.1,469481982,Tools
com.qihoo.security,Safe Security -  Antivirus; Booster, Phone Cleaner,4.6,464387773,Tools
com.google.android.inputmethod.pinyin,Google Pinyin Input,4,418868113,Tools
cn.xender,Xender - Share Music&Video Status Saver Transfer,4.5,409379356,Tools
com.antivirus,AVG AntiVirus Free & Mobile Security; Photo Vault,4.7,390847051,Tools
com.mi.android.globalpersonalassistant,App vault,3.9,377855490,Tools
com.devuni.flashlight,Tiny Flashlight + LED,4.5,370191350,Tools
com.google.android.apps.inputmethod.hindi,Google Indic Keyboard,4.3,368586239,Tools
com.lookout,Mobile Security; Antivirus & Cleaner by Lookout,4.7,355173972,Tools
com.avast.android.mobilesecurity,Avast Antivirus – Scan & Remove Virus; Cleaner,4.7,328586937,Tools
com.motorola.motodisplay,Moto Display,4.3,311000712,Tools
com.google.android.inputmethod.korean,Google Korean Input,3.9,283764742,Tools
com.appstar.callrecorder,Automatic Call Recorder,3.8,269700957,Tools
com.google.vr.vrcore,Google VR Services,3.8,253398117,Tools
com.mi.globalbrowser,Mi Browser Pro - Video Download; Free, Fast&Secure,4.6,250560189,Tools
com.motorola.timeweatherwidget,Moto Widget,4.2,250352409,Tools
com.emoji.coolkeyboard,❤️Emoji keyboard - Cute Emoticons; GIF, Stickers,4.5,243541885,Tools
com.sec.android.easyMover,Samsung Smart Switch Mobile,4.3,243067712,Tools
com.transsion.phonemaster,Phone Master –Junk cleaner master; Battery Cooler,4.6,242368613,Tools
com.sonyericsson.extras.liveware,Smart Connect,3.8,238046010,Tools
com.jb.emoji.gokeyboard,GO Keyboard - Cute Emojis; Themes and GIFs,4.5,229615245,Tools
com.gamma.scan,QR & Barcode Scanner,4.7,218226165,Tools
free.vpn.unblock.proxy.turbovpn,Turbo VPN- Free VPN Proxy Server & Secure Service,4.6,203337200,Tools
com.psafe.msuite,dfndr security: antivirus; anti-hacking & cleaner,4.5,193099549,Tools
com.vivo.easyshare,EasyShare – Ultrafast File Transfer; Free & No Ads,4.6,192497687,Tools
com.halo.wifikey.wifilocating,WiFi Master - by wifi.com,4.4,186583581,Tools
org.zwanoo.android.speedtest,Speedtest by Ookla,4.3,182675030,Tools
ru.yandex.searchplugin,Yandex,4.6,172106132,Tools
com.sony.snei.np.android.account,Account Manager,4.3,169774549,Tools
ru.zdevs.zarchiver,ZArchiver,4.5,163868505,Tools
com.speedymovil.wire,Mi Telcel,3.6,161505439,Tools
com.ludashi.dualspace,Dual Space - Multiple Accounts & App Cloner,4.1,154750218,Tools
com.yy.biu,Noizz - video editor; video maker photos with song,4,152780788,Tools
com.domobile.applockwatcher,AppLock,4.3,151940702,Tools
com.jrzheng.supervpnfree,SuperVPN Free VPN Client,4.7,151252195,Tools
com.defianttech.diskdigger,DiskDigger photo recovery,3.8,147363694,Tools
com.rarlab.rar,RAR,4.4,145217535,Tools
com.vzw.hss.myverizon,My Verizon,4.5,144968880,Tools
com.google.android.apps.adm,Google Find My Device,4.4,144940899,Tools
com.rsupport.rs.activity.rsupport.aas2,Smart Tutor for SAMSUNG Mobile,4.1,136463325,Tools
com.rlk.weathers,Daily Weather,4.4,133220291,Tools
com.motorola.help,Moto Feedback,4.2,130894443,Tools
com.asus.soundrecorder,ASUS Sound Recorder,4.3,128589650,Tools
