appID, appName,rating,max_installs,category
com.google.android.apps.maps,Google Maps - Navigate & Explore,3.8,9141671889,Travel & Local
com.google.android.street,Google Street View,4.2,1719820254,Travel & Local
com.google.android.apps.mapslite,Google Maps Go,3.8,495819547,Travel & Local
com.booking,Booking.com: Hotels and more,4.7,416069452,Travel & Local
com.google.earth,Google Earth,4.3,412118070,Travel & Local
com.google.android.apps.navlite,Navigation for Google Maps Go,4.3,403692575,Travel & Local
com.tripadvisor.tripadvisor,Tripadvisor: Hotels; Activities & Restaurants,4.4,392841385,Travel & Local
com.whereismytrain.android,Where is my Train : Indian Railway Train Status,4.4,147665376,Travel & Local
ru.yandex.yandexnavi,Yandex.Navigator,4.6,106068616,Travel & Local
com.ixigo.train.ixitrain,IRCTC Train Booking; PNR Status, Running Status,4.3,98230290,Travel & Local
com.gojek.app,Gojek - Ojek Taxi Booking; Delivery and Payment,4.3,98057412,Travel & Local
com.airbnb.android,Airbnb - Vacation Rentals & Experiences,4.6,89340164,Travel & Local
com.trivago,trivago: Compare hotel prices,4.4,85599708,Travel & Local
com.vznavigator.Generic,VZ Navigator,4,79700655,Travel & Local
com.yellowpages.android.ypmobile,YP - The Real Yellow Pages,4.1,77425607,Travel & Local
mobi.wifi.toolbox,Swift WiFi - Free WiFi Hotspot Portable,4.5,71730992,Travel & Local
com.mapswithme.maps.pro,MAPS.ME – Offline maps; travel guides & navigation,4.5,69424662,Travel & Local
com.comuto,BlaBlaCar: Carpooling and bus,4.2,62988900,Travel & Local
com.makemytrip,MakeMyTrip Travel Booking: Flights; Hotels, Trains,4.3,61813104,Travel & Local
cris.org.in.prs.ima,IRCTC Rail Connect,4.1,57290509,Travel & Local
com.oyo.consumer,OYO: Travel & Vacation Hotels | Hotel Booking App,4.2,56766522,Travel & Local
com.goibibo,Goibibo Travel App-Hotel; Flight, IRCTC Train, Bus,4.4,54907184,Travel & Local
com.nhn.android.nmap,NAVER Map; Navigation,3.4,51163958,Travel & Local
net.skyscanner.android.main,﻿Skyscanner – cheap flights; hotels and car rental,4.5,50902289,Travel & Local
com.traveloka.android,Traveloka: Book Hotel; Flight Ticket & Activities,4.8,44971931,Travel & Local
in.redbus.android,redBus - World’s #1 Online Bus Ticket Booking App,4.5,41693126,Travel & Local
com.railyatri.in.mobile,IRCTC Train Tickets; Train Status & PNR: RailYatri,4.5,41654245,Travel & Local
com.flightradar24free,Flightradar24 Flight Tracker,4.6,41473638,Travel & Local
com.expedia.bookings,Expedia Hotel; Flight & Car Rental Travel Deals,4,38527686,Travel & Local
com.sasyabook.runningtrainstatus,Indian Railway Train Status : Where is my Train,4.3,37053882,Travel & Local
