pkg_name,targets,API Calls,API size,image count,Images size,Video Count,VideoSize
com.home.recipes.food.drink,https://freegameshub.net,1,2.4mb,3005,63.3MB,,
flirty.chat,https://flirty.chat/,1,542 bytes,16,1.1mb,,
com.snagajob.jobseeker,https://pwa.snagajob.com/search,48,2.2MB,11,8.5KB,,
com.xfinity.digitalhome,https://www.stg.xfinity.com,37,335kB,53,3.6MB,,
com.vpg,https://www.voyage-prive.com/?origin=TWA,25,1MB,109,4.4MB,,
pl.onet.onethd,https://www.onet.pl,63,976kB,84,1.2 MB,,
com.badoo.twa,https://badoo.com/?__twa=1,12,116kB,17,706kB,,
air.com.befunky.BeFunkyPhotoEditor,https://www.befunky.com/dashboard/#play-store-twa-v2,23,193kB,44,912kB,,
hu.webvalto.bkkfutar,https://realcity.io,8,516 kB,31,2.4MB,1,2.4MB
easy.to.read.kjv.bible,http://www.jamesedition.net,11,1.6MB,4,1.9MB,,
com.pinterest.twa,https://www.pinterest.com/,98,2.2mb,106,2.8mb,,
com.twitter.android.lite,https://mobile.twitter.com/?utm_source=liteAPK&amp;utm_medium=shortcut,24,926kb,16,75.3kb,,
com.smartfren,https://www.smartfren.com,26,878 Bytes,57,4.6 MB,,
xyz.appmaker.qukopu,https://diler.io/,14,0,1,104kB,,
ar.com.claro.android,https://miclaro.claro.com.ar/?utm_source=icono&amp;utm_medium=Internos&amp;utm_campaign=miicono&amp;utm_content=twa&amp;origen=twa,18,22.4kB,10,17.6kB,,
in.mohalla.sharechatlite,https://sharechat.com,3,92 Bytes,11,134kB,,
cdiscount.mobile,https://www.cdiscount.com/,52,105kB,327,4.7MB,,
com.coreldrawdesign.app,https://coreldrawdesign.com/,19,15kB,82,5.3MB,,
com.entertain.androxls,https://www.offidocs.com,24,54.4kB,42,256kB,,
